v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification
0.95,10,10,391,-0.07099958281137277,0.07099958281137277,0.1809466741130416,0.47120690335701665,0.3478464225299409,bulk_or_mixed_state
0.95,10,10,390,-0.07099958281137285,0.07099958281137285,0.1809466741130452,0.4712069033570183,0.34784642252993786,bulk_or_mixed_state
0.95,10,10,389,-0.07901027247926556,0.07901027247926556,0.18363134592332686,0.4984621617196341,0.3179064923570387,bulk_or_mixed_state
0.95,10,10,388,-0.07901027247926583,0.07901027247926583,0.18363134592333297,0.4984621617196352,0.3179064923570318,bulk_or_mixed_state
1.0,10,10,398,0.022800680119402075,0.022800680119402075,0.25945168739784275,0.520942319516521,0.21960599308563716,bulk_or_mixed_state
1.0,10,10,399,0.022800680119402377,0.022800680119402377,0.25945168739784263,0.5209423195165201,0.21960599308563702,bulk_or_mixed_state
1.0,10,10,397,-0.056634535288873154,0.056634535288873154,0.13196164145636435,0.5801512227038021,0.28788713583983383,bulk_or_mixed_state
1.0,10,10,396,-0.05663453528887344,0.05663453528887344,0.1319616414563652,0.5801512227038021,0.28788713583983205,bulk_or_mixed_state
1.0,10,10,395,-0.07326969490085619,0.07326969490085619,0.18978477483751569,0.40859232849586624,0.4016228966666169,bulk_or_mixed_state
1.0,10,10,394,-0.07326969490085641,0.07326969490085641,0.18978477483751566,0.4085923284958665,0.4016228966666183,bulk_or_mixed_state
1.0,10,10,400,0.0916506330477282,0.0916506330477282,0.20344269750172098,0.49922134072212654,0.2973359617761539,bulk_or_mixed_state
1.0,10,10,401,0.09165063304772826,0.09165063304772826,0.20344269750171937,0.4992213407221252,0.2973359617761556,bulk_or_mixed_state
1.0,10,10,393,-0.09313210872234759,0.09313210872234759,0.17227059524610355,0.4954009407626181,0.33232846399127663,bulk_or_mixed_state
1.0,10,10,392,-0.0931321087223481,0.0931321087223481,0.1722705952461011,0.49540094076261737,0.33232846399128163,bulk_or_mixed_state
1.0,10,10,391,-0.10024191231189311,0.10024191231189311,0.1770047475991191,0.4653397950712127,0.3576554573296701,bulk_or_mixed_state
1.0,10,10,390,-0.10024191231189328,0.10024191231189328,0.17700474759911994,0.4653397950712132,0.35765545732966797,bulk_or_mixed_state
1.05,10,10,398,0.0034247911857679036,0.0034247911857679036,0.19097939892315868,0.49588519397893405,0.3131354070979097,bulk_or_mixed_state
1.05,10,10,399,0.0034247911857682926,0.0034247911857682926,0.19097939892315802,0.4958851939789329,0.31313540709790877,bulk_or_mixed_state
1.1,10,10,398,-0.02412881439525232,0.02412881439525232,0.14553000525401458,0.4698661181133045,0.3846038766326815,bulk_or_mixed_state
1.1,10,10,399,-0.024128814395252024,0.024128814395252024,0.1455300052540145,0.46986611811330503,0.3846038766326818,bulk_or_mixed_state
