v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,in_gap_window,bulk_gap_used,window_status
0.3,10,10,398,-0.058394309766472884,0.058394309766472884,0.39002208051968656,0.6034491494594592,0.006528770020854532,8,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,399,-0.05839430976647281,0.05839430976647281,0.3900220805196868,0.6034491494594587,0.006528770020854601,8,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,400,-0.03152183887703344,0.03152183887703344,0.37272308951168504,0.619560651237933,0.0077162592503816916,8,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,401,-0.03152183887703327,0.03152183887703327,0.3727230895116852,0.6195606512379337,0.0077162592503816655,8,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,402,-0.023938317224284772,0.023938317224284772,0.37619736757617583,0.6210325487276049,0.002770083696219678,8,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,403,-0.023938317224284595,0.023938317224284595,0.3761973675761742,0.6210325487276063,0.0027700836962197013,0,1,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,404,-0.014441761633531903,0.014441761633531903,0.37159071370862934,0.6132780690592309,0.01513121723214073,9,1,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,405,-0.01444176163353124,0.01444176163353124,0.37159071370863117,0.6132780690592277,0.015131217232140762,1,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,406,-0.010233997963632887,0.010233997963632887,0.3880066246322694,0.6075601565684012,0.004433218799330061,9,8,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,407,-0.010233997963632446,0.010233997963632446,0.38800662463227026,0.6075601565684001,0.0044332187993300605,0,1,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,408,0.02329116878850517,0.02329116878850517,0.291775183483551,0.7013737678444288,0.006851048672019831,9,7,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,409,0.023291168788505595,0.023291168788505595,0.2917751834835506,0.7013737678444298,0.006851048672019827,9,7,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,410,0.03442825516125633,0.03442825516125633,0.2577493604832878,0.7185891490918189,0.023661490424893718,0,2,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,411,0.03442825516125649,0.03442825516125649,0.25774936048328806,0.7185891490918184,0.0236614904248937,9,7,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,412,0.039217083851571834,0.039217083851571834,0.33516719957269414,0.6600992025987181,0.004733597828587256,0,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,413,0.039217083851571896,0.039217083851571896,0.3351671995726947,0.6600992025987186,0.004733597828587291,9,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,414,0.05408761382122395,0.05408761382122395,0.35571820282924804,0.6297358767157188,0.014545920455032486,4,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,415,0.05408761382122395,0.05408761382122395,0.35571820282924793,0.6297358767157191,0.014545920455032538,5,0,edge_state,0.23999999999999996,0.5999999999999999,ok
