v,direction,scan_param,center_index,wannier_center
0.1,x,-0.8920571732415463,2,0.7263181268767593
0.1,x,-0.8920571732415463,3,0.9091651617508991
0.1,x,-0.8144869842640206,0,0.26940571973158733
0.1,x,-0.8144869842640206,1,0.39757224893308185
0.1,x,-0.8144869842640206,2,0.5931434478072921
0.1,x,-0.8144869842640206,3,0.739878583528039
0.1,x,-0.7369167952864948,0,0.23710020033525883
0.1,x,-0.7369167952864948,1,0.41242400900450515
0.1,x,-0.7369167952864948,2,0.5899701745440764
0.1,x,-0.7369167952864948,3,0.7605056161161594
0.1,x,-0.659346606308969,0,0.20920320618093594
0.1,x,-0.659346606308969,1,0.31788438721965306
0.1,x,-0.659346606308969,2,0.6937259756750267
0.1,x,-0.659346606308969,3,0.7791864309243846
0.1,x,-0.5817764173314433,0,0.12010077775134159
0.1,x,-0.5817764173314433,1,0.24273553319062133
0.1,x,-0.5817764173314433,2,0.7595766039301006
0.1,x,-0.5817764173314433,3,0.8775870851279364
0.1,x,-0.5042062283539175,0,0.16275711835811923
0.1,x,-0.5042062283539175,1,0.2703862031107851
0.1,x,-0.5042062283539175,2,0.7234016678474147
0.1,x,-0.5042062283539175,3,0.8434550106836811
0.1,x,-0.4266360393763917,0,0.17495558349578091
0.1,x,-0.4266360393763917,1,0.2691461970221069
0.1,x,-0.4266360393763917,2,0.7298058529531537
0.1,x,-0.4266360393763917,3,0.8260923665289581
0.1,x,-0.34906585039886595,0,0.14189299262241678
0.1,x,-0.34906585039886595,1,0.18252343143649163
0.1,x,-0.34906585039886595,2,0.8213698468420103
0.1,x,-0.34906585039886595,3,0.8542137290990817
0.1,x,-0.2714956614213402,0,0.11764978131126408
0.1,x,-0.2714956614213402,1,0.29673646884487653
0.1,x,-0.2714956614213402,2,0.7008155003054338
0.1,x,-0.2714956614213402,3,0.8847982495384248
0.1,x,-0.19392547244381442,0,0.19695287015892093
0.1,x,-0.19392547244381442,1,0.32946240566717144
0.1,x,-0.19392547244381442,2,0.6580577034496364
0.1,x,-0.19392547244381442,3,0.8155270207242709
0.1,x,-0.11635528346628865,0,0.10908576698355786
0.1,x,-0.11635528346628865,1,0.22453417568600037
0.1,x,-0.11635528346628865,2,0.778479012730022
0.1,x,-0.11635528346628865,3,0.8879010446004196
0.1,x,-0.03878509448876288,0,0.18438866906845938
0.1,x,-0.03878509448876288,1,0.36738355887224916
0.1,x,-0.03878509448876288,2,0.6487310646573083
0.1,x,-0.03878509448876288,3,0.7994967074019835
0.1,x,0.03878509448876288,0,0.2091999126641844
0.1,x,0.03878509448876288,1,0.40794145796794207
0.1,x,0.03878509448876288,2,0.5888059860751045
0.1,x,0.03878509448876288,3,0.7940526432927687
0.1,x,0.11635528346628865,0,0.08870849650498575
0.1,x,0.11635528346628865,1,0.26587465319125786
0.1,x,0.11635528346628865,2,0.7343599230332726
0.1,x,0.11635528346628865,3,0.9110569272704836
0.1,x,0.19392547244381442,0,0.1743703476169606
0.1,x,0.19392547244381442,1,0.3470207334704384
0.1,x,0.19392547244381442,2,0.6659998013084774
0.1,x,0.19392547244381442,3,0.8126091176041235
0.1,x,0.2714956614213402,0,0.11842121554030521
0.1,x,0.2714956614213402,1,0.19870922578155453
0.1,x,0.2714956614213402,2,0.8087818716821396
0.1,x,0.2714956614213402,3,0.8740876869960008
0.1,x,0.34906585039886595,0,0.1297931880869429
0.1,x,0.34906585039886595,1,0.4013193330829453
0.1,x,0.34906585039886595,2,0.5877288699025125
0.1,x,0.34906585039886595,3,0.8811586089275989
0.1,x,0.4266360393763917,0,0.26089437090999745
0.1,x,0.4266360393763917,1,0.3595708131674928
0.1,x,0.4266360393763917,2,0.6414887739236093
0.1,x,0.4266360393763917,3,0.7380460419989008
0.1,x,0.5042062283539175,0,0.06378538324906305
0.1,x,0.5042062283539175,1,0.21076432720240335
