center_label,v,lm,t,w,bulk_gap,direct_gap,indirect_gap,min_direct_gap,kx_min,ky_min,chern,z2,wilson,occupied_band_index,unoccupied_band_index,distance_to_center
B,1.0,0.29999999999999993,0.5,1.0,0.5804039413421525,0.5804039413421531,0.5804039413421525,0.5804039413421531,0.0,0.5,-1.1523406648157776e-17,0,0.4931472342141561,3,4,0.1414213562373095
B,1.01,0.1,0.5,0.99,0.21999999999999917,0.3616604183814764,0.21999999999999917,0.3616604183814764,0.5,0.6666666666666666,1.1132098879468825e-16,1,0.7625282061792352,3,4,0.13453624047073717
B,1.01,0.11,0.5,0.99,0.24414989030221626,0.38245366704001954,0.24414989030221626,0.38245366704001954,0.3333333333333333,0.5,3.164293450818974e-17,1,-0.7913988929082059,3,4,0.12727922061357863
B,1.01,0.12,0.5,0.99,0.2686756107809781,0.40096645058352226,0.2686756107809781,0.40096645058352226,0.25,0.5,-6.646600310230483e-17,1,-1.2332966552457107,3,4,0.12041594578792303
B,1.01,0.13,0.5,0.99,0.2935721762533394,0.41073243720445035,0.2935721762533394,0.41073243720445035,0.0,0.5,2.7616967965840266e-18,0,-0.2821674214555013,3,4,0.11401754250991386
B,1.01,0.13999999999999999,0.5,0.99,0.31883429180796524,0.4159945527590762,0.31883429180796524,0.4159945527590762,1.0,0.5,-1.1295424814502244e-16,0,0.010867694901850597,3,4,0.10816653826391975
B,1.01,0.14999999999999997,0.5,0.99,0.3444563789739998,0.4216166399251092,0.3444563789739998,0.4216166399251092,0.0,0.5,9.441440205318317e-17,1,0.5884401039237218,3,4,0.1029563014098701
B,1.01,0.15999999999999998,0.5,0.99,0.3704326023342402,0.4275928632853507,0.3704326023342402,0.4275928632853507,1.0,0.5,-2.434004267597537e-17,1,1.1711564160613503,3,4,0.09848857801796114
B,1.01,0.16999999999999998,0.5,0.99,0.39675689632311417,0.43391715727422375,0.39675689632311417,0.43391715727422375,0.0,0.5,-1.122213406250186e-16,1,0.5509531098489627,3,4,0.09486832980505147
B,1.01,0.17999999999999997,0.5,0.99,0.42342299196476507,0.44058325291587547,0.42342299196476507,0.44058325291587547,1.0,0.5,-6.695694385655783e-17,1,0.8267467177934793,3,4,0.09219544457292896
