v,t,w,lm,E_a_numeric,E_b_numeric,E_a_formula,E_b_formula,overlap_a,overlap_b
0.6590000000000001,0.3,1.0,0.0,0.25900000000000056,0.3409999999999999,0.2590000000000001,0.34099999999999986,1.0000000000000004,0.7071067811865485
0.6600000000000001,0.3,1.0,0.0,0.26000000000000023,0.34,0.2600000000000001,0.33999999999999986,1.0,0.8814887754436798
0.6610000000000001,0.3,1.0,0.0,0.26099999999999984,0.3389999999999997,0.2610000000000001,0.33899999999999986,1.0000000000000004,0.8316991495197267
0.6620000000000001,0.3,1.0,0.0,0.2620000000000002,0.3380000000000001,0.2620000000000001,0.33799999999999986,1.0,0.9975410090472279
0.6630000000000001,0.3,1.0,0.0,0.2629999999999999,0.33699999999999997,0.2630000000000001,0.33699999999999986,0.9999999999999998,0.7071067811865482
0.6640000000000001,0.3,1.0,0.0,0.26400000000000035,0.33600000000000024,0.2640000000000001,0.33599999999999985,1.0000000000000004,0.9862476643687836
0.6650000000000001,0.3,1.0,0.0,0.2650000000000003,0.33499999999999985,0.2650000000000001,0.33499999999999985,1.0,0.8634748317792156
0.6660000000000001,0.3,1.0,0.0,0.2660000000000001,0.3339999999999997,0.2660000000000001,0.33399999999999985,0.9999999999999998,0.898041473408716
0.6670000000000001,0.3,1.0,0.0,0.26699999999999996,0.3329999999999997,0.2670000000000001,0.33299999999999985,1.0,0.9969846328194643
0.6680000000000001,0.3,1.0,0.0,0.2680000000000001,0.3319999999999999,0.2680000000000001,0.33199999999999985,1.0,0.7071067811865478
0.6690000000000002,0.3,1.0,0.0,0.2689999999999999,0.33099999999999985,0.26900000000000013,0.33099999999999985,1.0,0.7071067811865477
0.6700000000000002,0.3,1.0,0.0,0.27,0.32999999999999996,0.27000000000000013,0.32999999999999985,0.9999999999999998,0.7071067811865485
0.6710000000000002,0.3,1.0,0.0,0.271,0.3289999999999998,0.27100000000000013,0.32899999999999985,1.0,0.7850621132117959
