v,t,w,lm,E_valence_M,E_conduction_M,Delta_M,m_M,2abs_m_M
0.6000000000000001,0.3,1.0,0.0,0.19999999999999998,0.3999999999999999,0.19999999999999993,-0.09999999999999987,0.19999999999999973
0.6010000000000001,0.3,1.0,0.0,0.20100000000000015,0.3989999999999999,0.19799999999999976,-0.09899999999999998,0.19799999999999995
0.6020000000000001,0.3,1.0,0.0,0.20200000000000004,0.398,0.19599999999999998,-0.09799999999999986,0.19599999999999973
0.6030000000000001,0.3,1.0,0.0,0.20300000000000037,0.39699999999999996,0.1939999999999996,-0.09699999999999998,0.19399999999999995
0.6040000000000001,0.3,1.0,0.0,0.20400000000000018,0.39599999999999985,0.19199999999999967,-0.09599999999999986,0.19199999999999973
0.6050000000000001,0.3,1.0,0.0,0.20499999999999985,0.3950000000000002,0.19000000000000034,-0.09499999999999997,0.18999999999999995
0.6060000000000001,0.3,1.0,0.0,0.20600000000000018,0.3939999999999999,0.18799999999999972,-0.09399999999999986,0.18799999999999972
0.6070000000000001,0.3,1.0,0.0,0.2069999999999999,0.39299999999999974,0.18599999999999983,-0.09299999999999997,0.18599999999999994
0.6080000000000001,0.3,1.0,0.0,0.20800000000000002,0.3919999999999999,0.18399999999999989,-0.09199999999999986,0.18399999999999972
0.6090000000000001,0.3,1.0,0.0,0.20900000000000002,0.3909999999999999,0.18199999999999988,-0.09099999999999997,0.18199999999999994
0.6100000000000001,0.3,1.0,0.0,0.21000000000000013,0.38999999999999985,0.17999999999999972,-0.08999999999999986,0.17999999999999972
0.6110000000000001,0.3,1.0,0.0,0.2109999999999999,0.3889999999999999,0.178,-0.08899999999999997,0.17799999999999994
0.6120000000000001,0.3,1.0,0.0,0.21200000000000013,0.3879999999999998,0.17599999999999966,-0.08799999999999986,0.1759999999999997
0.6130000000000001,0.3,1.0,0.0,0.21300000000000013,0.3869999999999999,0.17399999999999977,-0.08699999999999997,0.17399999999999993
0.6140000000000001,0.3,1.0,0.0,0.21400000000000025,0.3860000000000003,0.17200000000000004,-0.08599999999999985,0.1719999999999997
0.6150000000000001,0.3,1.0,0.0,0.21500000000000016,0.3849999999999999,0.16999999999999973,-0.08499999999999996,0.16999999999999993
0.6160000000000001,0.3,1.0,0.0,0.21600000000000016,0.38400000000000006,0.1679999999999999,-0.08399999999999985,0.1679999999999997
0.6170000000000001,0.3,1.0,0.0,0.21700000000000008,0.3829999999999999,0.16599999999999981,-0.08299999999999996,0.16599999999999993
0.6180000000000001,0.3,1.0,0.0,0.2179999999999999,0.3819999999999998,0.1639999999999999,-0.08199999999999985,0.1639999999999997
0.6190000000000001,0.3,1.0,0.0,0.21899999999999978,0.3809999999999996,0.16199999999999984,-0.08099999999999996,0.16199999999999992
0.6200000000000001,0.3,1.0,0.0,0.21999999999999983,0.3799999999999998,0.15999999999999995,-0.07999999999999985,0.1599999999999997
0.6210000000000001,0.3,1.0,0.0,0.2210000000000003,0.37900000000000006,0.15799999999999975,-0.07899999999999996,0.15799999999999992
0.6220000000000001,0.3,1.0,0.0,0.22200000000000011,0.378,0.1559999999999999,-0.07799999999999985,0.1559999999999997
0.6230000000000001,0.3,1.0,0.0,0.22299999999999984,0.3769999999999998,0.15399999999999994,-0.07699999999999996,0.15399999999999991
0.6240000000000001,0.3,1.0,0.0,0.22400000000000012,0.37599999999999995,0.15199999999999983,-0.07599999999999985,0.1519999999999997
0.6250000000000001,0.3,1.0,0.0,0.2250000000000002,0.3749999999999995,0.1499999999999993,-0.07499999999999996,0.1499999999999999
0.6260000000000001,0.3,1.0,0.0,0.2260000000000001,0.3740000000000004,0.1480000000000003,-0.07399999999999984,0.1479999999999997
0.6270000000000001,0.3,1.0,0.0,0.22700000000000004,0.37299999999999967,0.14599999999999963,-0.07299999999999995,0.1459999999999999
0.6280000000000001,0.3,1.0,0.0,0.22800000000000015,0.372,0.14399999999999985,-0.07199999999999984,0.14399999999999968
0.6290000000000001,0.3,1.0,0.0,0.22900000000000034,0.37099999999999994,0.1419999999999996,-0.07099999999999995,0.1419999999999999
0.6300000000000001,0.3,1.0,0.0,0.2300000000000001,0.37,0.1399999999999999,-0.06999999999999984,0.13999999999999968
0.6310000000000001,0.3,1.0,0.0,0.23099999999999996,0.3689999999999999,0.13799999999999993,-0.06899999999999995,0.1379999999999999
0.6320000000000001,0.3,1.0,0.0,0.23200000000000034,0.3680000000000002,0.13599999999999987,-0.06799999999999984,0.13599999999999968
0.6330000000000001,0.3,1.0,0.0,0.23299999999999982,0.3669999999999997,0.1339999999999999,-0.06699999999999995,0.1339999999999999
0.6340000000000001,0.3,1.0,0.0,0.2340000000000002,0.3660000000000002,0.132,-0.06599999999999984,0.13199999999999967
0.6350000000000001,0.3,1.0,0.0,0.2350000000000001,0.36499999999999994,0.12999999999999984,-0.06499999999999995,0.1299999999999999
0.6360000000000001,0.3,1.0,0.0,0.23600000000000027,0.36399999999999993,0.12799999999999967,-0.06399999999999983,0.12799999999999967
0.6370000000000001,0.3,1.0,0.0,0.23700000000000032,0.363,0.12599999999999967,-0.06299999999999994,0.1259999999999999
0.6380000000000001,0.3,1.0,0.0,0.238,0.3619999999999999,0.12399999999999989,-0.06199999999999983,0.12399999999999967
0.6390000000000001,0.3,1.0,0.0,0.2390000000000003,0.36100000000000004,0.12199999999999975,-0.06099999999999994,0.12199999999999989
0.6400000000000001,0.3,1.0,0.0,0.24000000000000007,0.35999999999999976,0.11999999999999969,-0.05999999999999983,0.11999999999999966
0.6410000000000001,0.3,1.0,0.0,0.24100000000000027,0.3590000000000001,0.11799999999999983,-0.05899999999999994,0.11799999999999988
0.6420000000000001,0.3,1.0,0.0,0.24200000000000008,0.35799999999999993,0.11599999999999985,-0.05799999999999983,0.11599999999999966
0.6430000000000001,0.3,1.0,0.0,0.24300000000000008,0.3569999999999999,0.1139999999999998,-0.05699999999999994,0.11399999999999988
0.6440000000000001,0.3,1.0,0.0,0.24400000000000016,0.3559999999999998,0.11199999999999966,-0.05599999999999983,0.11199999999999966
