point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,category
v_0p10_t_0p60_lm_0p80,0.1,0.6,0.8,0.39999999999999936,-1.957334458978964e-17,1,0,0,-0.90612132722002,robust_nontrivial
v_0p10_t_0p60_lm_1p00,0.1,0.6,1.0,0.39999999999999825,-3.3762048152411656e-16,1,0,0,0.6549294080046205,robust_nontrivial
v_0p10_t_0p70_lm_0p50,0.1,0.7,0.5,-6.938893903907228e-16,3.34889002522584e-17,0,1,0,1.9642924176325758,near_transition
v_0p10_t_0p70_lm_0p60,0.1,0.7,0.6,0.39999999999999686,-1.3152490936574173e-16,1,0,0,-0.8085545243989584,robust_nontrivial
v_0p10_t_0p70_lm_0p70,0.1,0.7,0.7,0.5999999999999978,8.833143326213054e-17,1,0,0,-1.4018451617216285,robust_nontrivial
v_0p10_t_0p70_lm_0p80,0.1,0.7,0.8,0.799999999999998,-3.834954987825346e-17,1,0,0,1.0191365004860258,robust_nontrivial
v_0p10_t_0p70_lm_0p90,0.1,0.7,0.9,0.7999999999999985,-3.7559125198474505e-17,1,0,0,1.3551678632490767,robust_nontrivial
v_0p10_t_0p80_lm_0p50,0.1,0.8,0.5,-1.3322676295501878e-15,-4.069987000317244e-16,1,1,0,0.8662785111126722,near_transition
v_0p10_t_0p80_lm_0p60,0.1,0.8,0.6,0.3999999999999989,-7.670901029676979e-17,1,0,0,-0.5702119771478149,robust_nontrivial
v_0p10_t_0p80_lm_0p70,0.1,0.8,0.7,0.7999999999999985,-8.990346392233282e-17,1,0,0,-0.8488239644480716,robust_nontrivial
v_0p10_t_0p80_lm_0p80,0.1,0.8,0.8,0.9999999999999977,1.1157067897168533e-16,1,0,0,-3.256264532794298,robust_nontrivial
v_0p10_t_0p80_lm_0p90,0.1,0.8,0.9,1.1999999999999975,5.231523539971855e-17,1,0,0,-0.6152708613119152,robust_nontrivial
