v,L,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,IPR,classification
0.4,20,89,0.010544941434634778,0.010544941434634778,0.2883702809340688,0.708968100733906,0.0026616183320241956,0.011154140186344797,edge-like or edge-corner mixed state
0.4,20,83,-0.012151426210093916,0.012151426210093916,0.25026669741590807,0.7433105019082306,0.006422800675861142,0.011082278089620883,edge-like or edge-corner mixed state
0.4,20,82,-0.01215142621009394,0.01215142621009394,0.25026669741590724,0.7433105019082278,0.006422800675861118,0.0110822780896208,edge-like or edge-corner mixed state
0.4,30,80,0.0006320008750271294,0.0006320008750271294,0.2032867378063582,0.7811869748893189,0.015526287304322005,0.006666382949637979,edge-like or edge-corner mixed state
0.4,30,81,0.0006320008750271298,0.0006320008750271298,0.20328673780635814,0.7811869748893188,0.015526287304322005,0.006666382949637976,edge-like or edge-corner mixed state
0.4,30,82,0.0019469141458463481,0.0019469141458463481,0.19949726685995142,0.7973412227117362,0.003161510428312221,0.00731988316652254,edge-like or edge-corner mixed state
0.4,30,83,0.001946914145846352,0.001946914145846352,0.1994972668599509,0.797341222711734,0.0031615104283122114,0.007319883166522499,edge-like or edge-corner mixed state
0.4,40,79,-0.0003707894562989321,0.0003707894562989321,0.17989281448926758,0.815666754317268,0.004440431193463783,0.0051299333714420435,edge-like or edge-corner mixed state
0.4,40,78,-0.00037078945629893224,0.00037078945629893224,0.17989281448926756,0.8156667543172683,0.004440431193463785,0.005129933371442045,edge-like or edge-corner mixed state
0.4,40,80,0.0014004703153006578,0.0014004703153006578,0.1836983078837344,0.8154692563661342,0.0008324357501317353,0.005424705745779957,edge-like or edge-corner mixed state
0.4,40,81,0.0014004703153006586,0.0014004703153006586,0.18369830788373404,0.8154692563661328,0.0008324357501317341,0.005424705745779937,edge-like or edge-corner mixed state
0.5,20,88,-0.002051572877439009,0.002051572877439009,0.28193319848848475,0.7057702028744037,0.012296598637111493,0.009647107473571257,edge-like or edge-corner mixed state
0.5,20,89,-0.002051572877439009,0.002051572877439009,0.28193319848848464,0.7057702028744036,0.012296598637111491,0.009647107473571254,edge-like or edge-corner mixed state
0.5,20,87,-0.006288086623365444,0.006288086623365444,0.2689328439863521,0.6752822786629171,0.05578487735072883,0.007245670823397259,edge-like or edge-corner mixed state
0.5,20,86,-0.00628808662336546,0.00628808662336546,0.2689328439863524,0.6752822786629178,0.05578487735072889,0.007245670823397275,edge-like or edge-corner mixed state
0.5,20,85,-0.008485716947081603,0.008485716947081603,0.29663049363458227,0.696934024510313,0.006435481855102574,0.009920829161809239,edge-like or edge-corner mixed state
0.5,20,84,-0.008485716947081631,0.008485716947081631,0.2966304936345825,0.6969340245103133,0.006435481855102578,0.009920829161809247,edge-like or edge-corner mixed state
0.5,20,90,0.011657063647177671,0.011657063647177671,0.2916076569030634,0.6910929598484399,0.017299383248494015,0.009352253626403599,edge-like or edge-corner mixed state
0.5,20,91,0.011657063647177675,0.011657063647177675,0.2916076569030634,0.6910929598484399,0.017299383248494032,0.0093522536264036,edge-like or edge-corner mixed state
0.5,30,78,0.003584854529330446,0.003584854529330446,0.19680076462591672,0.7897224980639719,0.013476737310112105,0.0062342703748927515,edge-like or edge-corner mixed state
0.5,30,79,0.003584854529330459,0.003584854529330459,0.19680076462591625,0.7897224980639701,0.013476737310112091,0.006234270374892724,edge-like or edge-corner mixed state
0.5,30,80,0.003668852753149057,0.003668852753149057,0.18647069420654291,0.7444355314633202,0.06909377433013741,0.004728016666776235,edge-like or edge-corner mixed state
0.5,30,81,0.0036688527531490754,0.0036688527531490754,0.18647069420654203,0.744435531463317,0.06909377433013712,0.004728016666776191,edge-like or edge-corner mixed state
0.5,30,77,-0.005955037091684213,0.005955037091684213,0.17412352214056953,0.7967178360152563,0.029158641844172994,0.0058133554683714814,edge-like or edge-corner mixed state
0.5,30,76,-0.005955037091684237,0.005955037091684237,0.1741235221405693,0.7967178360152551,0.029158641844172977,0.005813355468371465,edge-like or edge-corner mixed state
0.5,30,75,-0.00725650744841365,0.00725650744841365,0.02836764626977787,0.2361428483494728,0.7354895053807462,0.001648610811745649,edge-like or edge-corner mixed state
0.5,30,74,-0.007256507448413674,0.007256507448413674,0.02836764626977794,0.2361428483494731,0.7354895053807464,0.0016486108117456514,edge-like or edge-corner mixed state
