point_id,special_rank,special_score,v,t,lm,w,size,min_abs_energy,count_absE_le_0p02,count_absE_le_0p05,near_zero_gap_estimate
v_0p40_t_0p50_lm_0p30,5,503.0245203858899,0.4,0.5,0.3,1.6,20,0.00016812516855226644,4,14,0.017283879445890868
v_0p10_t_0p50_lm_0p20,6,398.76950741359013,0.1,0.5,0.2,1.9,12,0.007803369980220771,2,12,0.04014161315937823
v_0p10_t_0p50_lm_0p20,6,398.76950741359013,0.1,0.5,0.2,1.9,16,0.0029426349768353066,6,14,0.029072784309240242
v_0p10_t_0p50_lm_0p20,6,398.76950741359013,0.1,0.5,0.2,1.9,20,0.00022019897770686093,6,18,0.02284267467674871
v_1p20_t_0p50_lm_0p10,7,254.52272352882014,1.2,0.5,0.1,0.8,12,0.001665474648846113,6,34,0.014922664856604852
v_1p20_t_0p50_lm_0p10,7,254.52272352882014,1.2,0.5,0.1,0.8,16,0.0027029016557285996,14,62,0.012674906942892944
v_1p20_t_0p50_lm_0p10,7,254.52272352882014,1.2,0.5,0.1,0.8,20,0.0019279302626976809,50,78,0.0059821930773134874
v_1p20_t_0p50_lm_0p00,8,240.06454777587695,1.2,0.5,0.0,0.8,12,0.013376588714351097,4,30,0.03862936854683184
v_1p20_t_0p50_lm_0p00,8,240.06454777587695,1.2,0.5,0.0,0.8,16,0.0002773852319002612,18,58,0.008803728896248001
v_1p20_t_0p50_lm_0p00,8,240.06454777587695,1.2,0.5,0.0,0.8,20,0.002090636716033858,46,74,0.004687208216413583
v_1p10_t_0p50_lm_0p10,9,184.93242371743688,1.1,0.5,0.1,0.8999999999999999,12,0.006413485537146218,10,20,0.012897838516260815
v_1p10_t_0p50_lm_0p10,9,184.93242371743688,1.1,0.5,0.1,0.8999999999999999,16,1.8545180128241576e-05,58,66,7.696746855880906e-05
v_1p10_t_0p50_lm_0p10,9,184.93242371743688,1.1,0.5,0.1,0.8999999999999999,20,0.0027854063154901082,20,96,0.009658110618164859
v_0p40_t_0p50_lm_0p10,10,161.112215808525,0.4,0.5,0.1,1.6,12,0.024450058813796947,0,14,0.0569135977879351
v_0p40_t_0p50_lm_0p10,10,161.112215808525,0.4,0.5,0.1,1.6,16,0.005825648922195312,8,16,0.03934486128051064
v_0p40_t_0p50_lm_0p10,10,161.112215808525,0.4,0.5,0.1,1.6,20,0.000713085173781079,8,20,0.00671177129420961
v_1p10_t_0p50_lm_0p00,11,149.54060253008316,1.1,0.5,0.0,0.8999999999999999,12,0.0005844317363696917,6,22,0.029473529530567134
v_1p10_t_0p50_lm_0p00,11,149.54060253008316,1.1,0.5,0.0,0.8999999999999999,16,0.005996521629837197,32,50,0.02669706737614528
v_1p10_t_0p50_lm_0p00,11,149.54060253008316,1.1,0.5,0.0,0.8999999999999999,20,0.0012973907073127442,12,54,0.015451360047680067
v_1p20_t_0p50_lm_0p30,12,147.24788223069194,1.2,0.5,0.3,0.8,12,0.0006933858522585756,16,26,0.004008633998859594
v_1p20_t_0p50_lm_0p30,12,147.24788223069194,1.2,0.5,0.3,0.8,16,0.0022088308102904556,16,36,0.01095131678152544
