v,termination,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification,bulk_gap_used,in_gap_window
0.5,A,10,10,390,0.0016234482229213543,0.0016234482229213543,0.2758973132635346,0.6784571631813151,0.045645523555150204,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,391,0.0016234482229215055,0.0016234482229215055,0.27589731326353084,0.6784571631813183,0.04564552355515025,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,392,0.003089649190947912,0.003089649190947912,0.35203429812863973,0.6124883260146591,0.03547737585670163,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,393,0.003089649190948076,0.003089649190948076,0.3520342981285748,0.6124883260147195,0.0354773758567057,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,394,0.0032975843432997546,0.0032975843432997546,0.23783591857092912,0.7160003266385832,0.04616375479048777,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,395,0.003297584343299856,0.003297584343299856,0.23783591857100286,0.7160003266385156,0.046163754790482105,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,396,0.006967168143180603,0.006967168143180603,0.3802007453940749,0.5843654692512807,0.035433785354644844,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,397,0.006967168143180828,0.006967168143180828,0.38020074539407667,0.5843654692512779,0.035433785354644844,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,398,0.007571395853618882,0.007571395853618882,0.3598005535554216,0.6031176830003457,0.03708176344423104,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,399,0.007571395853618955,0.007571395853618955,0.35980055355543716,0.6031176830003322,0.03708176344423004,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,400,0.009832693408179424,0.009832693408179424,0.4340761594394311,0.5345430209355286,0.0313808196250399,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,401,0.009832693408179558,0.009832693408179558,0.4340761594394838,0.5345430209354813,0.03138081962503343,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,402,0.010135756649220616,0.010135756649220616,0.4565247896675591,0.5134203135478783,0.0300548967845627,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,403,0.010135756649221063,0.010135756649221063,0.4565247896675665,0.5134203135478661,0.03005489678456619,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,404,0.01150441983873949,0.01150441983873949,0.3832041194415293,0.582905758167308,0.03389012239116287,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,405,0.01150441983873972,0.01150441983873972,0.38320411944145183,0.5829057581673825,0.03389012239116537,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,406,0.011668502186914426,0.011668502186914426,0.43063989429865046,0.5384871649587237,0.03087294074262514,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,407,0.011668502186914663,0.011668502186914663,0.43063989429864685,0.538487164958722,0.03087294074262995,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,408,0.012527782446538986,0.012527782446538986,0.22540182741216996,0.7315954832869984,0.043002689300831565,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,409,0.01252778244653928,0.01252778244653928,0.2254018274122389,0.7315954832869316,0.04300268930082954,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,410,0.012577168309158981,0.012577168309158981,0.26736510278636627,0.6927542292714313,0.03988066794220218,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,411,0.012577168309159354,0.012577168309159354,0.26736510278636205,0.6927542292714366,0.03988066794220068,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,412,0.01291490547651305,0.01291490547651305,0.07883557227257419,0.8691968579100855,0.05196756981733986,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,413,0.012914905476514011,0.012914905476514011,0.07883557227249989,0.8691968579101569,0.05196756981734328,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,414,0.013045130993682189,0.013045130993682189,0.08774388024749159,0.8608873485658928,0.05136877118661611,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,415,0.013045130993682253,0.013045130993682253,0.08774388024748436,0.8608873485659001,0.05136877118661573,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,416,0.014671511326599268,0.014671511326599268,0.3883217368349927,0.577207812136685,0.03447045102832163,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,417,0.01467151132659994,0.01467151132659994,0.3883217368349641,0.5772078121367124,0.03447045102832335,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,418,0.017631486872737495,0.017631486872737495,0.3922414408927438,0.575754059256644,0.03200449985061177,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,419,0.017631486872737863,0.017631486872737863,0.39224144089274543,0.5757540592566422,0.0320044998506116,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,420,0.02860073675973725,0.02860073675973725,0.337270175743817,0.6283594660423326,0.03437035821385034,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,421,0.028600736759737615,0.028600736759737615,0.33727017574382395,0.6283594660423255,0.03437035821384983,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,422,0.03133648593486845,0.03133648593486845,0.3483814932962121,0.617993276743414,0.03362522996037429,edge_state,0.6254680554388378,0.25018722217553513
