v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,bulk_gap_used,in_gap_window
0.4,10,10,360,-0.3162279462106216,0.3162279462106216,0.9251764942350129,0.07336887826649977,0.0014546274984866903,9,9,corner_state,0.817874845550107,0.32714993822004285
0.4,10,10,361,-0.31622794621062134,0.31622794621062134,0.9251764942350137,0.07336887826649993,0.001454627498486692,9,9,corner_state,0.817874845550107,0.32714993822004285
0.4,10,10,362,-0.10047290226510754,0.10047290226510754,0.8501510187329591,0.14413443464490056,0.005714546622139819,0,0,corner_state,0.817874845550107,0.32714993822004285
0.4,10,10,363,-0.10047290226510734,0.10047290226510734,0.85015101873294,0.14413443464491849,0.0057145466221411355,0,0,corner_state,0.817874845550107,0.32714993822004285
0.4,10,10,364,-0.09999365807876943,0.09999365807876943,0.8295706546929011,0.16323334162582398,0.00719600368127732,9,0,corner_state,0.817874845550107,0.32714993822004285
0.4,10,10,365,-0.09999365807876784,0.09999365807876784,0.8295706546929006,0.16323334162582254,0.0071960036812772675,0,9,corner_state,0.817874845550107,0.32714993822004285
0.4,10,10,366,-0.09951962628099505,0.09951962628099505,0.8585165509451916,0.13609901027735188,0.005384438777456729,0,0,corner_state,0.817874845550107,0.32714993822004285
0.4,10,10,367,-0.0995196262809948,0.0995196262809948,0.8585165509452111,0.13609901027733423,0.0053844387774553875,0,0,corner_state,0.817874845550107,0.32714993822004285
0.4,10,10,368,-0.06148839411736961,0.06148839411736961,0.11628302707508886,0.8515408579315604,0.03217611499335008,5,9,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,369,-0.06148839411736957,0.06148839411736957,0.11628302707508825,0.8515408579315609,0.032176114993350165,9,5,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,370,-0.05881097510126526,0.05881097510126526,0.08608946024711078,0.8801833030251933,0.03372723672769545,5,9,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,371,-0.05881097510126513,0.05881097510126513,0.0860894602471095,0.8801833030251944,0.0337272367276956,9,5,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,372,-0.041994019038807305,0.041994019038807305,0.24349255212410012,0.7327762159340909,0.02373123194180915,9,3,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,373,-0.041994019038806785,0.041994019038806785,0.24349255212409726,0.7327762159340944,0.02373123194180921,9,3,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,374,-0.037584547441955,0.037584547441955,0.19944671757933014,0.7743903297948498,0.02616295262581912,7,9,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,375,-0.03758454744195455,0.03758454744195455,0.1994467175793322,0.77439032979485,0.02616295262581906,7,9,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,376,-0.024771854714067253,0.024771854714067253,0.07709882954203952,0.8911510846788111,0.031750085779149013,0,4,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,377,-0.024771854714066992,0.024771854714066992,0.07709882954203592,0.8911510846788142,0.03175008577914905,4,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,378,-0.022865887919760082,0.022865887919760082,0.1361615263420376,0.8349392744819102,0.028899199176052333,5,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,379,-0.02286588791975999,0.02286588791975999,0.13616152634200515,0.8349392744819415,0.02889919917605353,5,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,380,-0.02074795643386321,0.02074795643386321,0.255601896500089,0.723899093130655,0.020499010369256093,9,2,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,381,-0.020747956433863162,0.020747956433863162,0.25560189650012494,0.7238990931306204,0.020499010369254802,2,9,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,382,-0.01705013516534708,0.01705013516534708,0.299481322607219,0.680174369156044,0.020344308236738308,9,7,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,383,-0.01705013516534619,0.01705013516534619,0.29948132260721727,0.6801743691560447,0.020344308236737996,9,7,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,384,-0.011386772708066505,0.011386772708066505,0.17735072356013137,0.7981986695501484,0.024450606889719263,0,6,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,385,-0.011386772708066263,0.011386772708066263,0.177350723560131,0.79819866955015,0.024450606889719305,0,6,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,386,-0.00873479347668244,0.00873479347668244,0.12929357691763355,0.8460123974554625,0.0246940256269036,3,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,387,-0.00873479347668208,0.00873479347668208,0.12929357691762905,0.8460123974554674,0.024694025626903735,3,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,388,-0.002845086641177746,0.002845086641177746,0.3799024360632298,0.6039048530949216,0.016192710841850484,1,9,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,389,-0.0028450866411774025,0.0028450866411774025,0.3799024360632226,0.603904853094928,0.016192710841850932,1,9,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,390,-0.001241113976916561,0.001241113976916561,0.30085242005830304,0.68089840791697,0.018249172024727003,7,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,391,-0.0012411139769162311,0.0012411139769162311,0.30085242005829954,0.6808984079169743,0.018249172024727082,0,7,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,392,0.0004999376802043094,0.0004999376802043094,0.24001094541574974,0.7400674222125896,0.019921632371661016,0,2,edge_state,0.817874845550107,0.32714993822004285
