v,t,w,lm,direct_gap,indirect_gap,kx_min,ky_min,chern_total,z2,z2_reliable,phase_label,comment,z2_wilson,z2_fu_kane,wilson_winding_kx,wilson_winding_ky,fu_kane_quality,k_u_min,k_v_min
0.27,0.3,1.0,0.0,0.8599999999999993,0.7999999999999988,3.141592653589793,3.141592653589793,-2.095311228364218e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.0234367575417833,-0.8478905976625655,2.6645352591003757e-15,0.5,0.5
0.28,0.3,1.0,0.0,0.8399999999999994,0.7999999999999992,3.141592653589793,3.141592653589793,-8.215165233901931e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,-1.9550866601061478,-1.8266828815154734,1.5543122344752192e-15,0.5,0.5
0.29,0.3,1.0,0.0,0.8200000000000001,0.7999999999999998,3.141592653589793,3.141592653589793,-3.639823834022828e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,1.9509258965186065,-1.5074829957662486,8.881784197001252e-16,0.5,0.5
0.3,0.3,1.0,0.0,0.7999999999999998,0.7999999999999983,3.141592653589793,3.141592653589793,1.459838505575674e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,-0.4831013053738798,-2.0126002006360557,7.771561172376096e-16,0.5,0.5
0.31,0.3,1.0,0.0,0.7799999999999994,0.7799999999999987,3.141592653589793,3.141592653589793,-5.912314241157868e-17,0,1,trivial_insulator,z2 source=fu_kane,1,0,-3.0347553165719177,1.3270434322974067,1.3322676295501878e-15,0.5,0.5
0.32,0.3,1.0,0.0,0.7599999999999996,0.7599999999999985,3.141592653589793,3.141592653589793,-1.1385298319349174e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,-2.0807378583710485,0.017638843237057472,1.4432899320127035e-15,0.5,0.5
0.33,0.3,1.0,0.0,0.7399999999999992,0.739999999999999,3.141592653589793,3.141592653589793,-3.0013718259991347e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.9874518646316589,-2.112626396598857,1.5543122344752192e-15,0.5,0.5
0.34,0.3,1.0,0.0,0.7199999999999989,0.7199999999999983,3.141592653589793,3.141592653589793,-2.1460535875533787e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-0.8882137842182128,-0.9428304421872322,1.3322676295501878e-15,0.5,0.5
0.35,0.3,1.0,0.0,0.6999999999999998,0.6999999999999992,3.141592653589793,3.141592653589793,-2.817221678123086e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-3.558155540737184,-0.6579342243582726,1.3322676295501878e-15,0.5,0.5
0.36,0.3,1.0,0.0,0.6799999999999996,0.6799999999999988,3.141592653589793,3.141592653589793,-3.219217627302739e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.44655808137979075,0.9381174205661467,8.881784197001252e-16,0.5,0.5
0.37,0.3,1.0,0.0,0.6599999999999997,0.659999999999999,3.141592653589793,3.141592653589793,-3.7868892683511583e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,-0.1555690278841047,2.3583207361661023,9.992007221626409e-16,0.5,0.5
0.38,0.3,1.0,0.0,0.6399999999999996,0.6399999999999992,3.141592653589793,3.141592653589793,1.4612311755024204e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,1.9770568226907586,-0.9951646649850896,1.3322676295501878e-15,0.5,0.5
0.39,0.3,1.0,0.0,0.6199999999999996,0.6199999999999988,3.141592653589793,3.141592653589793,2.854273089176007e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,1.4608186675795067,-1.770340879087694,1.3322676295501878e-15,0.5,0.5
0.4,0.3,1.0,0.0,0.5999999999999995,0.5999999999999986,3.141592653589793,3.141592653589793,-3.448139242591958e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-0.9962532243665325,-0.5006528123109673,9.992007221626409e-16,0.5,0.5
0.41,0.3,1.0,0.0,0.5799999999999997,0.5799999999999988,3.141592653589793,3.141592653589793,-2.6053716762145264e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-3.8111703259841976,0.9633533731253306,1.2212453270876722e-15,0.5,0.5
0.42,0.3,1.0,0.0,0.5599999999999999,0.5599999999999992,3.141592653589793,3.141592653589793,2.1866995757300577e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,1.43032436987703,-2.998469276100496,1.1102230246251565e-15,0.5,0.5
0.43,0.3,1.0,0.0,0.5399999999999995,0.5399999999999987,3.141592653589793,3.141592653589793,4.250512234431922e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,0.501020534949489,-1.0433433706570852,1.3322676295501878e-15,0.5,0.5
0.44,0.3,1.0,0.0,0.5200000000000001,0.5199999999999994,3.141592653589793,3.141592653589793,2.296676107764885e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.7253959174779276,-2.0900381044825043,1.3322676295501878e-15,0.5,0.5
0.45,0.3,1.0,0.0,0.5,0.499999999999999,3.141592653589793,3.141592653589793,-3.942353170428354e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.0288593627150013,-0.9535051055822137,1.7763568394002505e-15,0.5,0.5
