lm,v,bulk_gap,spin_conserved,commutator_norm_H_sz,C_up,C_down,C_spin,C_up_rounded,C_down_rounded,C_spin_rounded,integer_error_up,integer_error_down,crossings_ref_0p45,crossings_ref_0p50,crossings_ref_0p55,Z2_crossing_raw,Z2_from_spin_chern,Z2_final,QSH_supported,warning
0.3,0.5,0.6620139804080933,1,0.0,1.406672456272244e-16,1.710398454712482e-16,-1.51862999220119e-17,0,0,0,1.406672456272244e-16,1.710398454712482e-16,65,62,65,0,0,0,0,
0.3,0.6,0.48127444510181294,1,0.0,2.3284161458139195e-16,-1.1886900579833777e-16,1.7585531018986486e-16,0,0,0,2.3284161458139195e-16,1.1886900579833777e-16,82,85,86,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,0.7,0.3105828541230251,1,0.0,-3.948650437109198e-17,9.933561705524389e-17,-6.941106071316794e-17,0,0,0,3.948650437109198e-17,9.933561705524389e-17,83,84,78,0,0,0,0,
0.3,0.8,0.15883112077260142,1,0.0,-1.6802325983549728e-16,5.593676646774518e-17,-1.1198001315162124e-16,0,0,0,1.6802325983549728e-16,5.593676646774518e-17,56,61,65,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,0.9,0.0447775072704144,1,0.0,-6.372943451511095e-17,2.2877498380845593e-16,-1.4625220916178343e-16,0,0,0,6.372943451511095e-17,2.2877498380845593e-16,66,61,70,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,1.0,6.820763473787382e-32,1,0.0,2.8271597168564594e-16,2.9999999999999996,-1.4999999999999996,0,3,-1,2.8271597168564594e-16,4.440892098500626e-16,64,62,66,0,1,1,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,1.1,0.04477750727041449,1,0.0,-5.388775832821314e-18,2.2608864057065487e-16,-1.157387082017381e-16,0,0,0,5.388775832821314e-18,2.2608864057065487e-16,62,68,68,0,0,0,0,
0.3,1.2,0.15883112077260148,1,0.0,-9.145907631281201e-18,3.577132996189056e-18,-6.361520313735129e-18,0,0,0,9.145907631281201e-18,3.577132996189056e-18,52,61,58,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,1.3,0.3105828541230251,1,0.0,-8.833063487089506e-17,5.63932085610171e-17,-7.236192171595608e-17,0,0,0,8.833063487089506e-17,5.63932085610171e-17,78,69,67,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,1.4,0.48127444510181283,1,0.0,1.6574890719398955e-16,2.593023871851372e-17,6.990933423773791e-17,0,0,0,1.6574890719398955e-16,2.593023871851372e-17,91,83,77,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,1.5,0.6620139804080932,1,0.0,2.1101338489042215e-16,1.9081883820309067e-16,1.0097273343665739e-17,0,0,0,2.1101338489042215e-16,1.9081883820309067e-16,67,71,67,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.4,0.1,1.3681541692269406,1,0.0,1.274161927328906e-16,-1.1873615936449956e-16,1.230761760486951e-16,0,0,0,1.274161927328906e-16,1.1873615936449956e-16,60,62,76,0,0,0,0,
0.4,0.2,1.176305461424021,1,0.0,-3.336407764589984e-17,-1.4003913540294373e-16,5.333752887852194e-17,0,0,0,3.336407764589984e-17,1.4003913540294373e-16,63,70,78,0,0,0,0,
0.4,0.3,0.9866068747318504,1,0.0,5.2268924954915385e-17,4.625546062098774e-18,2.3821689446408304e-17,0,0,0,5.2268924954915385e-17,4.625546062098774e-18,85,81,91,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.4,0.4,0.8000000000000003,1,0.0,3.5925030219629276e-16,-4.10287894451445e-17,2.0013954582071863e-16,0,0,0,3.5925030219629276e-16,4.10287894451445e-17,76,69,72,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.4,0.5,0.6180339887498946,1,0.0,-1.482051600724024e-16,1.2618092210315237e-16,-1.3719304108777737e-16,0,0,0,1.482051600724024e-16,1.2618092210315237e-16,66,67,75,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.4,0.6,0.44339811320566014,1,0.0,1.0202588363831069e-16,4.5654411609465414e-17,2.818573601442264e-17,0,0,0,1.0202588363831069e-16,4.5654411609465414e-17,65,67,81,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.4,0.7,0.28102496759066564,1,0.0,2.055813320482556e-16,-1.2814111339133051e-17,1.0919772169369433e-16,0,0,0,2.055813320482556e-16,1.2814111339133051e-17,70,62,64,0,0,0,0,
0.4,0.8,0.14031242374328484,1,0.0,-2.975131733488206e-16,2.223092235184857e-16,-2.5991119843365317e-16,0,0,0,2.975131733488206e-16,2.223092235184857e-16,74,74,72,0,0,0,0,
0.4,0.9,0.03851648071345036,1,0.0,3.975838788201816e-16,-8.158803329023111e-18,2.0287134107460236e-16,0,0,0,3.975838788201816e-16,8.158803329023111e-18,61,65,71,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.4,1.0,3.427676884948676e-32,1,0.0,-4.0,1.0,-2.5,-4,1,-2,0.0,0.0,74,76,73,0,0,0,0,
0.4,1.1,0.03851648071345044,1,0.0,-1.9345560929560635e-16,1.0597463493586635e-16,-1.4971512211573635e-16,0,0,0,1.9345560929560635e-16,1.0597463493586635e-16,70,68,68,0,0,0,0,
0.4,1.2,0.1403124237432848,1,0.0,7.14761849267032e-17,1.1333267798119701e-16,-2.0928246527246906e-17,0,0,0,7.14761849267032e-17,1.1333267798119701e-16,79,72,66,0,0,0,0,
0.4,1.3,0.28102496759066553,1,0.0,1.0484602358108496e-17,-1.9406337491338628e-16,1.0227398863574738e-16,0,0,0,1.0484602358108496e-17,1.9406337491338628e-16,81,81,76,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
