v,alpha,state_index,energy
0.5,0.75,97,1.8544409202533698
0.5,0.75,98,1.8574033695105543
0.5,0.75,99,1.9531913014763036
0.5,1.0,0,-1.4696792101470202
0.5,1.0,1,-1.4594208366228099
0.5,1.0,2,-1.4594208366228092
0.5,1.0,3,-1.4581516643154369
0.5,1.0,4,-1.4581516643154364
0.5,1.0,5,-1.4578007045130688
0.5,1.0,6,-1.4578007045130688
0.5,1.0,7,-1.447600147865333
0.5,1.0,8,-1.4476001478653318
0.5,1.0,9,-1.4264979640851887
0.5,1.0,10,-1.3847939465356107
0.5,1.0,11,-1.3558664165896246
0.5,1.0,12,-1.355866416589624
0.5,1.0,13,-1.348384100127909
0.5,1.0,14,-1.3483841001279084
0.5,1.0,15,-1.2979533490047508
0.5,1.0,16,-1.2979533490047508
0.5,1.0,17,-1.2885132587768866
0.5,1.0,18,-1.2885132587768857
0.5,1.0,19,-1.2652810063375097
0.5,1.0,20,-1.2261867381704563
0.5,1.0,21,-1.2261867381704554
0.5,1.0,22,-1.211777290262078
0.5,1.0,23,-1.1504734700986565
0.5,1.0,24,-1.0772915545300195
0.5,1.0,25,-1.0772915545300186
0.5,1.0,26,-1.072175364961569
0.5,1.0,27,-1.0721753649615684
0.5,1.0,28,-1.015026424459076
0.5,1.0,29,-1.0150264244590759
0.5,1.0,30,-0.8725006727236351
0.5,1.0,31,-0.8493319797888151
0.5,1.0,32,-0.8493319797888145
0.5,1.0,33,-0.8479648348928435
0.5,1.0,34,-0.8479648348928434
0.5,1.0,35,-0.7701838518783007
0.5,1.0,36,-0.7701838518783004
0.5,1.0,37,-0.6476514149140136
0.5,1.0,38,-0.6476514149140136
0.5,1.0,39,-0.43324797958397226
0.5,1.0,40,-0.3003072001497373
0.5,1.0,41,-0.3000024773174658
0.5,1.0,42,-0.3000024773174649
0.5,1.0,43,-0.2996927998502637
0.5,1.0,44,-0.11207206454988869
0.5,1.0,45,-0.11207206454988841
0.5,1.0,46,-0.09697773547521589
0.5,1.0,47,-0.09697773547521565
0.5,1.0,48,-0.08645976074693985
0.5,1.0,49,-0.08645976074693922
0.5,1.0,50,-0.06686096883006099
0.5,1.0,51,-0.0668609688300603
0.5,1.0,52,-0.018250525318511394
0.5,1.0,53,-0.018250525318511103
0.5,1.0,54,0.016475724407005773
0.5,1.0,55,0.016475724407006783
0.5,1.0,56,0.153973366962774
0.5,1.0,57,0.23036240491457616
0.5,1.0,58,0.2303624049145765
0.5,1.0,59,0.4460266330372258
0.5,1.0,60,0.5504734700986565
0.5,1.0,61,0.577558840310581
0.5,1.0,62,0.577558840310581
0.5,1.0,63,0.5859713045116997
0.5,1.0,64,0.5859713045116999
0.5,1.0,65,0.5889553892730458
0.5,1.0,66,0.5889553892730475
0.5,1.0,67,0.6652810063375098
0.5,1.0,68,0.7086238029447417
0.5,1.0,69,0.708623802944742
0.5,1.0,70,0.7269070783942926
0.5,1.0,71,0.7269070783942929
0.5,1.0,72,0.7847939465356103
0.5,1.0,73,0.8212912697993674
0.5,1.0,74,0.8212912697993675
0.5,1.0,75,0.8654031448886298
0.5,1.0,76,0.8654031448886301
0.5,1.0,77,0.8696792101470198
0.5,1.0,78,1.033247979583973
0.5,1.0,79,1.19655407109306
0.5,1.0,80,1.1965540710930607
0.5,1.0,81,1.2949664921231747
0.5,1.0,82,1.2949664921231747
0.5,1.0,83,1.4583338509820074
0.5,1.0,84,1.4583338509820085
0.5,1.0,85,1.4725006727236352
0.5,1.0,86,1.5308154855122442
0.5,1.0,87,1.5308154855122447
0.5,1.0,88,1.6256694125898359
0.5,1.0,89,1.6256694125898365
0.5,1.0,90,1.6616646555968906
0.5,1.0,91,1.6616646555968912
0.5,1.0,92,1.687422542860235
0.5,1.0,93,1.6874225428602354
0.5,1.0,94,1.7972247297907946
0.5,1.0,95,1.797224729790795
0.5,1.0,96,1.8117772902620792
0.5,1.0,97,1.9259259736568004
0.5,1.0,98,1.9259259736568013
0.5,1.0,99,2.0264979640851903
0.6,0.0,0,-1.8295089243599167
0.6,0.0,1,-1.7476666485931722
0.6,0.0,2,-1.7354171333679391
0.6,0.0,3,-1.662241387482311
0.6,0.0,4,-1.657503365249216
0.6,0.0,5,-1.6189654169959473
0.6,0.0,6,-1.6103492848221803
0.6,0.0,7,-1.6081721465040117
0.6,0.0,8,-1.5880044336973687
0.6,0.0,9,-1.587791841074219
0.6,0.0,10,-1.5221280188504054
0.6,0.0,11,-1.480875787020118
0.6,0.0,12,-1.4424224407078696
0.6,0.0,13,-1.4355232540740341
0.6,0.0,14,-1.413426662926548
0.6,0.0,15,-1.4091300845196881
0.6,0.0,16,-1.2918696904012195
0.6,0.0,17,-1.2478834073340506
0.6,0.0,18,-1.2165830149039827
0.6,0.0,19,-1.1665390107574602
