v,alpha,state_index,rank_by_absE,energy,abs_energy,W_corner,W_edge,W_bulk,IPR
0.7,0.5,55,5,0.033116764038699696,0.033116764038699696,0.1808417766664934,0.47904142458106175,0.34011679875244566,0.04934239897258696
0.7,0.5,56,6,0.05140245955199406,0.05140245955199406,0.17750207269408436,0.5195087538983798,0.3029891734075365,0.04848429240557478
0.7,0.5,57,7,0.06399826610538112,0.06399826610538112,0.31714699379328326,0.5118139884572337,0.17103901774948319,0.07295677675938317
0.7,0.75,54,0,-0.004538479633656247,0.004538479633656247,0.2886432562333626,0.5825017014610513,0.12885504230558592,0.07581628905450688
0.7,0.75,53,1,-0.007416394934452784,0.007416394934452784,0.1369366102936474,0.5766970246398309,0.2863663650665213,0.0565153732623817
0.7,0.75,52,2,-0.009538959353676782,0.009538959353676782,0.16188694957900457,0.5608347371317738,0.2772783132892207,0.055683249538741535
0.7,0.75,51,3,-0.01872903824769158,0.01872903824769158,0.03887052054628892,0.6158744762940377,0.3452550031596724,0.04899422020419951
0.7,0.75,50,4,-0.018952444629547725,0.018952444629547725,0.059895407022903774,0.6250255817787909,0.315079011198305,0.04754820773586903
0.7,0.75,55,5,0.020848446867221194,0.020848446867221194,0.17680518712682297,0.47690311396813867,0.34629169890503836,0.04667317362467079
0.7,0.75,56,6,0.038386869853028936,0.038386869853028936,0.3191794147898243,0.5358162194576217,0.14500436575255413,0.07848935052904829
0.7,0.75,57,7,0.0884988508696276,0.0884988508696276,0.21524324016789506,0.4840337035853242,0.3007230562467799,0.0502681688208042
0.7,1.0,54,0,0.007008395863191172,0.007008395863191172,0.2794869576538017,0.5370764756585326,0.1834365666876653,0.056119801516282715
0.7,1.0,55,1,0.0070083958631912795,0.0070083958631912795,0.20610613158526647,0.5026184284938298,0.2912754399209039,0.05185350004572235
0.7,1.0,56,2,0.015370323453429377,0.015370323453429377,0.3028848201523656,0.5658039938528225,0.13131118599481134,0.05223416272777175
0.7,1.0,53,3,-0.035231391888350505,0.035231391888350505,0.1426312680818424,0.5823539889239795,0.2750147429941773,0.07564398954764089
0.7,1.0,52,4,-0.03523139188835054,0.03523139188835054,0.1426312680818423,0.5823539889239798,0.2750147429941768,0.07564398954764087
0.7,1.0,51,5,-0.04935202238806796,0.04935202238806796,0.0416059855013299,0.6383405393343817,0.3200534751642877,0.07806354522303252
0.7,1.0,50,6,-0.049352022388068115,0.049352022388068115,0.03956613638859126,0.6368994587733658,0.3235344048380426,0.07813433106350512
0.7,1.0,49,7,-0.1076035871413654,0.1076035871413654,0.21939001170467928,0.5337721385433343,0.24683784975198675,0.0587635664111899
0.8,0.0,49,0,-0.006291006959812129,0.006291006959812129,0.5312707756818211,0.38577976536620656,0.08294945895197214,0.16253562530855592
0.8,0.0,50,1,0.006291006959813425,0.006291006959813425,0.5312707756818214,0.3857797653662064,0.0829494589519718,0.16253562530855603
