point_id,v,t,lm,w,band_path,ribbon_path,status
v_0p70_t_0p50_lm_0p00,0.7,0.5,0.0,1.3,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p00/ribbon.png,ok
v_0p70_t_0p50_lm_0p10,0.7,0.5,0.1,1.3,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p10/ribbon.png,ok
v_0p70_t_0p50_lm_0p20,0.7,0.5,0.2,1.3,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p20/ribbon.png,ok
v_0p70_t_0p50_lm_0p30,0.7,0.5,0.3,1.3,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p30/ribbon.png,ok
v_0p70_t_0p50_lm_0p40,0.7,0.5,0.4,1.3,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p40/ribbon.png,ok
v_0p70_t_0p50_lm_0p50,0.7,0.5,0.5,1.3,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p50/ribbon.png,ok
v_0p80_t_0p50_lm_0p00,0.8,0.5,0.0,1.2,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p00/ribbon.png,ok
v_0p80_t_0p50_lm_0p10,0.8,0.5,0.1,1.2,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p10/ribbon.png,ok
v_0p80_t_0p50_lm_0p20,0.8,0.5,0.2,1.2,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p20/ribbon.png,ok
v_0p80_t_0p50_lm_0p30,0.8,0.5,0.3,1.2,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p30/ribbon.png,ok
v_0p80_t_0p50_lm_0p40,0.8,0.5,0.4,1.2,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p40/ribbon.png,ok
v_0p80_t_0p50_lm_0p50,0.8,0.5,0.5,1.2,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p50/ribbon.png,ok
v_0p90_t_0p50_lm_0p00,0.9,0.5,0.0,1.1,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p00/ribbon.png,ok
v_0p90_t_0p50_lm_0p10,0.9,0.5,0.1,1.1,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p10/ribbon.png,ok
v_0p90_t_0p50_lm_0p20,0.9,0.5,0.2,1.1,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p20/ribbon.png,ok
v_0p90_t_0p50_lm_0p30,0.9,0.5,0.3,1.1,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p30/ribbon.png,ok
v_0p90_t_0p50_lm_0p40,0.9,0.5,0.4,1.1,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p40/ribbon.png,ok
v_0p90_t_0p50_lm_0p50,0.9,0.5,0.5,1.1,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p50/ribbon.png,ok
v_1p00_t_0p50_lm_0p00,1.0,0.5,0.0,1.0,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p00/ribbon.png,ok
v_1p00_t_0p50_lm_0p10,1.0,0.5,0.1,1.0,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p10/ribbon.png,ok
v_1p00_t_0p50_lm_0p20,1.0,0.5,0.2,1.0,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p20/ribbon.png,ok
v_1p00_t_0p50_lm_0p30,1.0,0.5,0.3,1.0,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p30/ribbon.png,ok
v_1p00_t_0p50_lm_0p40,1.0,0.5,0.4,1.0,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p40/ribbon.png,ok
