point_id,v,t,lm,w,status,chern,z2,wilson,topology_status
v_1p30_t_0p50_lm_0p30,1.3,0.5,0.3,0.7,ok,-2.8891352868332274e-17,1,0.9991949528989268,ok
v_1p30_t_0p50_lm_0p40,1.3,0.5,0.4,0.7,ok,-3.3377219606136665e-17,0,1.6081180892091533,ok
v_1p30_t_0p50_lm_0p50,1.3,0.5,0.5,0.7,ok,2.30603843469205e-16,1,-1.3613199227308943,ok
v_1p40_t_0p50_lm_0p00,1.4,0.5,0.0,0.6000000000000001,ok,-9.0727258835146e-18,0,-0.3985399316271235,ok
v_1p40_t_0p50_lm_0p10,1.4,0.5,0.1,0.6000000000000001,ok,-1.440042295013636e-16,0,0.35726493121321107,ok
v_1p40_t_0p50_lm_0p20,1.4,0.5,0.2,0.6000000000000001,ok,1.2755529084183112e-16,1,-0.565531653451043,ok
v_1p40_t_0p50_lm_0p30,1.4,0.5,0.3,0.6000000000000001,ok,-2.751522846880535e-18,0,-0.13156730135869954,ok
v_1p40_t_0p50_lm_0p40,1.4,0.5,0.4,0.6000000000000001,ok,-1.4566418629894913e-17,0,-0.031084304014728916,ok
v_1p40_t_0p50_lm_0p50,1.4,0.5,0.5,0.6000000000000001,ok,-3.2411212523553904e-16,1,-1.2598529993380503,ok
v_1p50_t_0p50_lm_0p00,1.5,0.5,0.0,0.5,ok,1.9409014262666627e-16,1,-1.3336566549675153,ok
v_1p50_t_0p50_lm_0p10,1.5,0.5,0.1,0.5,ok,1.7401332954944107e-16,0,-0.04165673791217984,ok
v_1p50_t_0p50_lm_0p20,1.5,0.5,0.2,0.5,ok,2.1044978027133175e-16,1,2.5022424495553617,ok
v_1p50_t_0p50_lm_0p30,1.5,0.5,0.3,0.5,ok,-5.927792097005161e-17,1,0.7519065928456917,ok
v_1p50_t_0p50_lm_0p40,1.5,0.5,0.4,0.5,ok,3.341444406200986e-17,0,0.35760552146820224,ok
v_1p50_t_0p50_lm_0p50,1.5,0.5,0.5,0.5,ok,-6.445021713378665e-17,1,-1.4886418178510477,ok
v_1p60_t_0p50_lm_0p00,1.6,0.5,0.0,0.3999999999999999,ok,-1.223387171502701e-16,1,-1.4878728958564347,ok
v_1p60_t_0p50_lm_0p10,1.6,0.5,0.1,0.3999999999999999,ok,2.5635820843000568e-17,0,-0.37857492665004666,ok
v_1p60_t_0p50_lm_0p20,1.6,0.5,0.2,0.3999999999999999,ok,-3.7046554286763076e-17,1,1.100066946243967,ok
v_1p60_t_0p50_lm_0p30,1.6,0.5,0.3,0.3999999999999999,ok,3.20524886559622e-16,0,0.3046352423998209,ok
