point_id,v,t,lm,w,obc_nx,obc_ny,eigvals_count,highlight_window,highlight_count,status,detail,obc_spectrum_path
v_1p60_t_0p50_lm_0p30,1.6,0.5,0.3,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p60_t_0p50_lm_0p40,1.6,0.5,0.4,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p60_t_0p50_lm_0p50,1.6,0.5,0.5,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p00,1.7,0.5,0.0,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p10,1.7,0.5,0.1,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p20,1.7,0.5,0.2,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p30,1.7,0.5,0.3,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p40,1.7,0.5,0.4,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p50,1.7,0.5,0.5,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p00,1.8,0.5,0.0,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p10,1.8,0.5,0.1,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p20,1.8,0.5,0.2,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p30,1.8,0.5,0.3,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p40,1.8,0.5,0.4,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p50,1.8,0.5,0.5,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p00,1.9,0.5,0.0,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p10,1.9,0.5,0.1,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p20,1.9,0.5,0.2,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p30,1.9,0.5,0.3,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p40,1.9,0.5,0.4,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p50,1.9,0.5,0.5,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p00,2.0,0.5,0.0,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p10,2.0,0.5,0.1,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p20,2.0,0.5,0.2,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p30,2.0,0.5,0.3,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p40,2.0,0.5,0.4,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
