point_id,v,t,lm,w,band_lower_edge,band_upper_edge,band_window_width,classification,has_edge_state,has_isolated_state,has_connecting_edge_branch,in_window_edge_state_count,ky_coverage,touches_lower,touches_upper,span_ratio,reason
v_0p20_t_0p50_lm_0p00,0.2,0.5,0.0,1.8,-0.6000000000000003,0.9999999999999999,1.6,isolated_midgap_state,1,1,0,484,1.0,0,0,0.30778293537350637,edge_states_exist_but_not_connecting_band4_and_band5
v_0p20_t_0p50_lm_0p10,0.2,0.5,0.1,1.8,-0.6,0.9999999999999989,1.5999999999999988,isolated_midgap_state,1,1,0,484,1.0,0,0,0.31875915853204295,edge_states_exist_but_not_connecting_band4_and_band5
v_0p20_t_0p50_lm_0p20,0.2,0.5,0.2,1.8,-0.5999999999999995,0.9999999999999994,1.599999999999999,isolated_midgap_state,1,1,0,484,1.0,0,0,0.35122746681102557,edge_states_exist_but_not_connecting_band4_and_band5
v_0p20_t_0p50_lm_0p30,0.2,0.5,0.3,1.8,-0.6,0.9999999999999993,1.5999999999999992,isolated_midgap_state,1,1,0,484,1.0,0,0,0.40371209508816513,edge_states_exist_but_not_connecting_band4_and_band5
v_0p20_t_0p50_lm_0p40,0.2,0.5,0.4,1.8,-0.6000000000000003,0.8000000000000004,1.4000000000000008,isolated_midgap_state,1,1,0,484,1.0,0,0,0.5418899405915313,edge_states_exist_but_not_connecting_band4_and_band5
v_0p20_t_0p50_lm_0p50,0.2,0.5,0.5,1.8,-0.5999999999999992,0.5999999999999985,1.1999999999999977,isolated_midgap_state,1,1,0,484,1.0,0,0,0.7470284778241002,edge_states_exist_but_not_connecting_band4_and_band5
v_0p30_t_0p50_lm_0p00,0.3,0.5,0.0,1.7,-0.3999999999999996,0.9999999999999999,1.3999999999999995,isolated_midgap_state,1,1,0,484,1.0,0,0,0.37123736390335416,edge_states_exist_but_not_connecting_band4_and_band5
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,1.7,-0.40000000000000013,0.9999999999999989,1.399999999999999,isolated_midgap_state,1,1,0,484,1.0,0,0,0.3843768591719488,edge_states_exist_but_not_connecting_band4_and_band5
v_0p30_t_0p50_lm_0p20,0.3,0.5,0.2,1.7,-0.39999999999999963,0.9999999999999994,1.399999999999999,isolated_midgap_state,1,1,0,484,1.0,0,0,0.42339304305340913,edge_states_exist_but_not_connecting_band4_and_band5
v_0p30_t_0p50_lm_0p30,0.3,0.5,0.3,1.7,-0.4,0.7999999999999997,1.1999999999999997,isolated_midgap_state,1,1,0,484,1.0,0,0,0.5670379449471112,edge_states_exist_but_not_connecting_band4_and_band5
