v,lm,t,w,E_valence_M,E_conduction_M,Delta_M,valence_band_index,conduction_band_index
0.615,0.1,0.3,1.0,0.185,0.2149999999999999,0.029999999999999916,3,4
0.616,0.1,0.3,1.0,0.18400000000000025,0.21599999999999986,0.03199999999999961,3,4
0.617,0.1,0.3,1.0,0.183,0.21699999999999983,0.033999999999999836,3,4
0.618,0.1,0.3,1.0,0.1820000000000002,0.21799999999999994,0.035999999999999754,3,4
0.619,0.1,0.3,1.0,0.181,0.21899999999999983,0.03799999999999984,3,4
0.62,0.1,0.3,1.0,0.17999999999999997,0.22000000000000006,0.04000000000000009,3,4
0.621,0.1,0.3,1.0,0.17900000000000005,0.22099999999999986,0.041999999999999815,3,4
0.622,0.1,0.3,1.0,0.178,0.22199999999999986,0.04399999999999987,3,4
0.623,0.1,0.3,1.0,0.177,0.22299999999999992,0.04599999999999993,3,4
0.624,0.1,0.3,1.0,0.176,0.22399999999999987,0.047999999999999876,3,4
0.625,0.1,0.3,1.0,0.1750000000000001,0.22499999999999992,0.04999999999999982,3,4
0.626,0.1,0.3,1.0,0.174,0.22599999999999998,0.05199999999999999,3,4
0.627,0.1,0.3,1.0,0.17300000000000004,0.22699999999999987,0.053999999999999826,3,4
0.628,0.1,0.3,1.0,0.1720000000000002,0.22799999999999992,0.05599999999999972,3,4
0.629,0.1,0.3,1.0,0.17100000000000004,0.22899999999999981,0.057999999999999774,3,4
0.63,0.1,0.3,1.0,0.16999999999999998,0.22999999999999984,0.05999999999999986,3,4
0.631,0.1,0.3,1.0,0.16900000000000007,0.23099999999999982,0.06199999999999975,3,4
0.632,0.1,0.3,1.0,0.16800000000000012,0.2319999999999997,0.06399999999999958,3,4
0.633,0.1,0.3,1.0,0.1670000000000001,0.23300000000000004,0.06599999999999995,3,4
0.634,0.1,0.3,1.0,0.1660000000000003,0.23399999999999996,0.06799999999999967,3,4
0.635,0.1,0.3,1.0,0.16499999999999992,0.2349999999999999,0.06999999999999998,3,4
0.636,0.1,0.3,1.0,0.16400000000000003,0.2360000000000001,0.07200000000000006,3,4
0.637,0.1,0.3,1.0,0.16300000000000014,0.23699999999999988,0.07399999999999973,3,4
0.638,0.1,0.3,1.0,0.1619999999999999,0.2379999999999998,0.0759999999999999,3,4
0.639,0.1,0.3,1.0,0.16099999999999992,0.23899999999999966,0.07799999999999974,3,4
0.64,0.1,0.3,1.0,0.16000000000000017,0.23999999999999985,0.07999999999999968,3,4
0.641,0.1,0.3,1.0,0.15900000000000003,0.24099999999999985,0.08199999999999982,3,4
0.642,0.1,0.3,1.0,0.15800000000000022,0.24199999999999994,0.08399999999999971,3,4
0.643,0.1,0.3,1.0,0.15699999999999997,0.24299999999999972,0.08599999999999974,3,4
0.644,0.1,0.3,1.0,0.15600000000000008,0.24399999999999994,0.08799999999999986,3,4
0.645,0.1,0.3,1.0,0.1550000000000001,0.24499999999999994,0.08999999999999983,3,4
0.646,0.1,0.3,1.0,0.1540000000000001,0.24600000000000002,0.09199999999999992,3,4
0.647,0.1,0.3,1.0,0.1530000000000003,0.24699999999999983,0.09399999999999953,3,4
0.648,0.1,0.3,1.0,0.152,0.24799999999999983,0.09599999999999984,3,4
0.649,0.1,0.3,1.0,0.151,0.24899999999999983,0.09799999999999984,3,4
0.65,0.1,0.3,1.0,0.15000000000000008,0.24999999999999983,0.09999999999999976,3,4
1.08,0.1,0.3,1.0,-0.28,0.11999999999999983,0.39999999999999986,3,4
1.081,0.1,0.3,1.0,-0.2809999999999998,0.1189999999999999,0.3999999999999997,3,4
1.082,0.1,0.3,1.0,-0.2820000000000001,0.11799999999999998,0.4000000000000001,3,4
1.083,0.1,0.3,1.0,-0.28299999999999975,0.11699999999999997,0.3999999999999997,3,4
1.084,0.1,0.3,1.0,-0.284,0.11599999999999977,0.39999999999999974,3,4
1.085,0.1,0.3,1.0,-0.28499999999999986,0.1149999999999999,0.39999999999999974,3,4
1.086,0.1,0.3,1.0,-0.2860000000000001,0.1139999999999999,0.39999999999999997,3,4
1.087,0.1,0.3,1.0,-0.287,0.11300000000000003,0.4,3,4
1.088,0.1,0.3,1.0,-0.28800000000000003,0.11199999999999954,0.3999999999999996,3,4
1.089,0.1,0.3,1.0,-0.289,0.11099999999999988,0.39999999999999986,3,4
1.09,0.1,0.3,1.0,-0.29000000000000015,0.10999999999999975,0.3999999999999999,3,4
1.091,0.1,0.3,1.0,-0.2909999999999999,0.10900000000000011,0.4,3,4
1.092,0.1,0.3,1.0,-0.29200000000000004,0.10800000000000018,0.40000000000000024,3,4
1.093,0.1,0.3,1.0,-0.2929999999999999,0.1070000000000001,0.4,3,4
1.094,0.1,0.3,1.0,-0.29400000000000015,0.10599999999999989,0.4,3,4
1.095,0.1,0.3,1.0,-0.29499999999999993,0.10499999999999964,0.3999999999999996,3,4
1.096,0.1,0.3,1.0,-0.29599999999999993,0.10399999999999984,0.3999999999999998,3,4
1.097,0.1,0.3,1.0,-0.2969999999999998,0.103,0.3999999999999998,3,4
1.098,0.1,0.3,1.0,-0.29800000000000004,0.10199999999999969,0.39999999999999974,3,4
1.099,0.1,0.3,1.0,-0.29899999999999993,0.10099999999999974,0.3999999999999997,3,4
1.1,0.1,0.3,1.0,-0.29999999999999993,0.09999999999999985,0.3999999999999998,3,4
