v,lm,t,w,Delta_M,band_character_sign,signed_mass_proxy,overlap_val_ref_val,overlap_val_ref_con,vx_est,vy_est,comment
0.599,0.1,0.3,1.0,0.0020000000000000295,1,0.0010000000000000148,0.8273398658243101,3.7492943094210496e-14,7.28583859910259e-14,5.204170427930421e-14,signed_mass_proxy from M-point component continuity
0.6,0.1,0.3,1.0,1.942890293094024e-16,1,9.71445146547012e-17,0.3976251846969523,0.08452733813177539,4.5102810375396984e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.601,0.1,0.3,1.0,0.001999999999999863,-1,-0.0009999999999999315,1.1359999290313427e-13,0.6655371046137445,3.469446951953614e-14,3.8163916471489756e-14,signed_mass_proxy from M-point component continuity
0.602,0.1,0.3,1.0,0.003999999999999504,-1,-0.001999999999999752,1.8878910113779458e-14,0.10263037008543488,3.469446951953614e-15,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.603,0.1,0.3,1.0,0.005999999999999589,-1,-0.0029999999999997945,1.7169775755282562e-14,0.9862942821033965,1.0408340855860843e-14,2.7755575615628914e-14,signed_mass_proxy from M-point component continuity
0.604,0.1,0.3,1.0,0.007999999999999452,-1,-0.003999999999999726,1.1175904583009077e-14,0.43317823227026875,1.734723475976807e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
0.605,0.1,0.3,1.0,0.009999999999999454,-1,-0.004999999999999727,1.3340265018695528e-14,0.9580804792222364,0.0,4.85722573273506e-14,signed_mass_proxy from M-point component continuity
0.606,0.1,0.3,1.0,0.011999999999999983,-1,-0.0059999999999999915,8.16372020266293e-15,0.9978291043707146,6.938893903907228e-15,1.0408340855860843e-14,signed_mass_proxy from M-point component continuity
0.607,0.1,0.3,1.0,0.013999999999999208,-1,-0.006999999999999604,5.915030087895289e-15,0.11710949370514355,1.0408340855860843e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.608,0.1,0.3,1.0,0.01599999999999996,-1,-0.00799999999999998,5.846704952636756e-15,0.9957014068714417,2.42861286636753e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.609,0.1,0.3,1.0,0.017999999999999544,-1,-0.008999999999999772,3.8576722395050574e-15,0.5434159822074199,1.3877787807814457e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.61,0.1,0.3,1.0,0.01999999999999938,-1,-0.00999999999999969,4.9096818274166645e-15,0.12128185161762009,3.122502256758253e-14,1.0408340855860843e-14,signed_mass_proxy from M-point component continuity
0.611,0.1,0.3,1.0,0.02199999999999991,-1,-0.010999999999999954,8.526892254564652e-16,0.1364687982503062,1.0408340855860843e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.612,0.1,0.3,1.0,0.023999999999999827,-1,-0.011999999999999914,9.063763595915645e-15,0.8990647737564934,1.0408340855860843e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.613,0.1,0.3,1.0,0.0259999999999998,-1,-0.0129999999999999,9.436829364595924e-15,0.9734888247796885,1.0408340855860843e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.614,0.1,0.3,1.0,0.027999999999999636,-1,-0.013999999999999818,1.0275398387450982e-15,0.14271656050111792,1.734723475976807e-14,5.898059818321144e-14,signed_mass_proxy from M-point component continuity
