v,lm,t,w,Delta_global,kx_min,ky_min,distance_to_M
0.634,0.1,0.3,1.0,0.06799999999999967,3.141592653589793,3.141592653589793,0.0
0.635,0.1,0.3,1.0,0.06999999999999998,3.141592653589793,3.141592653589793,0.0
0.636,0.1,0.3,1.0,0.07200000000000006,3.141592653589793,3.141592653589793,0.0
0.637,0.1,0.3,1.0,0.07399999999999973,3.141592653589793,3.141592653589793,0.0
0.638,0.1,0.3,1.0,0.0759999999999999,3.141592653589793,3.141592653589793,0.0
0.639,0.1,0.3,1.0,0.07799999999999974,3.141592653589793,3.141592653589793,0.0
0.64,0.1,0.3,1.0,0.07999999999999968,3.141592653589793,3.141592653589793,0.0
0.641,0.1,0.3,1.0,0.08199999999999982,3.141592653589793,3.141592653589793,0.0
0.642,0.1,0.3,1.0,0.08399999999999971,3.141592653589793,3.141592653589793,0.0
0.643,0.1,0.3,1.0,0.08599999999999974,3.141592653589793,3.141592653589793,0.0
0.644,0.1,0.3,1.0,0.08799999999999986,3.141592653589793,3.141592653589793,0.0
0.645,0.1,0.3,1.0,0.08999999999999983,3.141592653589793,3.141592653589793,0.0
0.646,0.1,0.3,1.0,0.09199999999999992,3.141592653589793,3.141592653589793,0.0
0.647,0.1,0.3,1.0,0.09399999999999953,3.141592653589793,3.141592653589793,0.0
0.648,0.1,0.3,1.0,0.09599999999999984,3.141592653589793,3.141592653589793,0.0
0.649,0.1,0.3,1.0,0.09799999999999984,3.141592653589793,3.141592653589793,0.0
0.65,0.1,0.3,1.0,0.09999999999999976,3.141592653589793,3.141592653589793,0.0
1.08,0.1,0.3,1.0,0.025994281687616583,3.141592653589793,6.283185307179586,3.141592653589793
1.081,0.1,0.3,1.0,0.02399428168761561,0.0,3.141592653589793,3.141592653589793
1.082,0.1,0.3,1.0,0.02199428168761587,0.0,3.141592653589793,3.141592653589793
1.083,0.1,0.3,1.0,0.0199942816876168,0.0,3.141592653589793,3.141592653589793
1.084,0.1,0.3,1.0,0.01799428168761634,6.283185307179586,3.141592653589793,3.141592653589793
1.085,0.1,0.3,1.0,0.015994281687616713,6.283185307179586,3.141592653589793,3.141592653589793
1.086,0.1,0.3,1.0,0.013994281687615129,0.0,3.141592653589793,3.141592653589793
