v,t,w,lm,E_valence_M_global,E_conduction_M_global,Delta_M_global,state_a_band_index,state_b_band_index,E_state_a,E_state_b,Delta_pair,band_character_sign,signed_m_M
0.274,0.0,1.0,0.0,-0.726,0.726,1.452,0,2,-0.726,0.726,1.452,-1.0,-0.726
0.276,0.0,1.0,0.0,-0.724,0.724,1.448,0,2,-0.724,0.724,1.448,-1.0,-0.724
0.278,0.0,1.0,0.0,-0.722,0.722,1.444,0,2,-0.722,0.722,1.444,-1.0,-0.722
0.28,0.0,1.0,0.0,-0.7199999999999999,0.7199999999999999,1.4399999999999997,1,3,-0.7199999999999999,0.72,1.44,-1.0,-0.72
0.28200000000000003,0.0,1.0,0.0,-0.718,0.718,1.436,0,2,-0.718,0.718,1.436,-1.0,-0.718
0.28400000000000003,0.0,1.0,0.0,-0.7159999999999999,0.7159999999999999,1.4319999999999997,1,3,-0.7159999999999999,0.716,1.432,-1.0,-0.716
0.28600000000000003,0.0,1.0,0.0,-0.714,0.714,1.428,0,2,-0.714,0.714,1.428,-1.0,-0.714
0.28800000000000003,0.0,1.0,0.0,-0.712,0.712,1.424,0,2,-0.712,0.712,1.424,-1.0,-0.712
0.29,0.0,1.0,0.0,-0.71,0.71,1.42,0,2,-0.71,0.71,1.42,-1.0,-0.71
0.292,0.0,1.0,0.0,-0.708,0.708,1.416,0,2,-0.708,0.708,1.416,-1.0,-0.708
0.294,0.0,1.0,0.0,-0.706,0.706,1.412,0,2,-0.706,0.706,1.412,-1.0,-0.706
0.296,0.0,1.0,0.0,-0.704,0.704,1.408,0,2,-0.704,0.704,1.408,-1.0,-0.704
0.298,0.0,1.0,0.0,-0.702,0.702,1.404,0,2,-0.702,0.702,1.404,-1.0,-0.702
0.3,0.0,1.0,0.0,-0.7,0.7,1.4,0,2,-0.7,0.7,1.4,-1.0,-0.7
0.302,0.0,1.0,0.0,-0.698,0.698,1.396,0,2,-0.698,0.698,1.396,-1.0,-0.698
0.304,0.0,1.0,0.0,-0.696,0.696,1.392,0,2,-0.696,0.696,1.392,-1.0,-0.696
0.306,0.0,1.0,0.0,-0.694,0.694,1.388,0,2,-0.694,0.694,1.388,-1.0,-0.694
0.308,0.0,1.0,0.0,-0.692,0.692,1.384,0,2,-0.692,0.692,1.384,-1.0,-0.692
0.31,0.0,1.0,0.0,-0.69,0.69,1.38,0,2,-0.69,0.69,1.38,-1.0,-0.69
0.312,0.0,1.0,0.0,-0.688,0.688,1.376,0,2,-0.688,0.688,1.376,-1.0,-0.688
0.314,0.0,1.0,0.0,-0.6859999999999999,0.6859999999999999,1.3719999999999999,0,2,-0.6859999999999999,0.6859999999999999,1.3719999999999999,-1.0,-0.6859999999999999
0.316,0.0,1.0,0.0,-0.6839999999999998,0.6839999999999998,1.3679999999999997,1,3,-0.6839999999999998,0.6839999999999999,1.3679999999999999,-1.0,-0.6839999999999999
0.318,0.0,1.0,0.0,-0.6819999999999998,0.6819999999999998,1.3639999999999997,1,3,-0.6819999999999998,0.6819999999999999,1.3639999999999999,-1.0,-0.6819999999999999
0.32,0.0,1.0,0.0,-0.6799999999999999,0.6799999999999999,1.3599999999999999,0,2,-0.6799999999999999,0.6799999999999999,1.3599999999999999,-1.0,-0.6799999999999999
0.322,0.0,1.0,0.0,-0.6779999999999999,0.6779999999999999,1.3559999999999999,0,2,-0.6779999999999999,0.6779999999999999,1.3559999999999999,-1.0,-0.6779999999999999
0.324,0.0,1.0,0.0,-0.6759999999999999,0.6759999999999999,1.3519999999999999,0,2,-0.6759999999999999,0.6759999999999999,1.3519999999999999,-1.0,-0.6759999999999999
0.326,0.0,1.0,0.0,-0.6739999999999999,0.6739999999999999,1.3479999999999999,0,2,-0.6739999999999999,0.6739999999999999,1.3479999999999999,-1.0,-0.6739999999999999
0.328,0.0,1.0,0.0,-0.6719999999999999,0.6719999999999999,1.3439999999999999,0,2,-0.6719999999999999,0.6719999999999999,1.3439999999999999,-1.0,-0.6719999999999999
0.33,0.0,1.0,0.0,-0.6699999999999999,0.6699999999999999,1.3399999999999999,0,2,-0.6699999999999999,0.6699999999999999,1.3399999999999999,-1.0,-0.6699999999999999
0.332,0.0,1.0,0.0,-0.6679999999999999,0.6679999999999999,1.3359999999999999,0,2,-0.6679999999999999,0.6679999999999999,1.3359999999999999,-1.0,-0.6679999999999999
0.334,0.0,1.0,0.0,-0.6659999999999999,0.6659999999999999,1.3319999999999999,0,2,-0.6659999999999999,0.6659999999999999,1.3319999999999999,-1.0,-0.6659999999999999
0.336,0.0,1.0,0.0,-0.6639999999999998,0.6639999999999998,1.3279999999999996,1,3,-0.6639999999999998,0.6639999999999999,1.3279999999999998,-1.0,-0.6639999999999999
0.338,0.0,1.0,0.0,-0.6619999999999998,0.6619999999999998,1.3239999999999996,1,3,-0.6619999999999998,0.6619999999999999,1.3239999999999998,-1.0,-0.6619999999999999
0.34,0.0,1.0,0.0,-0.6599999999999999,0.6599999999999999,1.3199999999999998,0,2,-0.6599999999999999,0.6599999999999999,1.3199999999999998,-1.0,-0.6599999999999999
0.342,0.0,1.0,0.0,-0.6579999999999998,0.6579999999999998,1.3159999999999996,1,3,-0.6579999999999998,0.6579999999999999,1.3159999999999998,-1.0,-0.6579999999999999
0.34400000000000003,0.0,1.0,0.0,-0.6559999999999999,0.6559999999999999,1.3119999999999998,0,2,-0.6559999999999999,0.6559999999999999,1.3119999999999998,-1.0,-0.6559999999999999
0.34600000000000003,0.0,1.0,0.0,-0.6539999999999999,0.6539999999999999,1.3079999999999998,0,2,-0.6539999999999999,0.6539999999999999,1.3079999999999998,-1.0,-0.6539999999999999
0.34800000000000003,0.0,1.0,0.0,-0.6519999999999999,0.6519999999999999,1.3039999999999998,0,2,-0.6519999999999999,0.6519999999999999,1.3039999999999998,-1.0,-0.6519999999999999
0.35000000000000003,0.0,1.0,0.0,-0.6499999999999999,0.6499999999999999,1.2999999999999998,0,2,-0.6499999999999999,0.6499999999999999,1.2999999999999998,-1.0,-0.6499999999999999
0.352,0.0,1.0,0.0,-0.648,0.648,1.296,0,2,-0.648,0.648,1.296,-1.0,-0.648
0.354,0.0,1.0,0.0,-0.646,0.646,1.292,0,2,-0.646,0.646,1.292,-1.0,-0.646
0.356,0.0,1.0,0.0,-0.644,0.644,1.288,0,2,-0.644,0.644,1.288,-1.0,-0.644
0.358,0.0,1.0,0.0,-0.642,0.642,1.284,0,2,-0.642,0.642,1.284,-1.0,-0.642
0.36,0.0,1.0,0.0,-0.64,0.64,1.28,0,2,-0.64,0.64,1.28,-1.0,-0.64
0.362,0.0,1.0,0.0,-0.638,0.638,1.276,0,2,-0.638,0.638,1.276,-1.0,-0.638
0.364,0.0,1.0,0.0,-0.6359999999999999,0.6359999999999999,1.2719999999999998,1,3,-0.6359999999999999,0.636,1.2719999999999998,-1.0,-0.6359999999999999
0.366,0.0,1.0,0.0,-0.634,0.634,1.268,0,2,-0.634,0.634,1.268,-1.0,-0.634
0.368,0.0,1.0,0.0,-0.632,0.632,1.264,0,2,-0.632,0.632,1.264,-1.0,-0.632
0.37,0.0,1.0,0.0,-0.63,0.63,1.26,0,2,-0.63,0.63,1.26,-1.0,-0.63
0.372,0.0,1.0,0.0,-0.628,0.628,1.256,0,2,-0.628,0.628,1.256,-1.0,-0.628
0.374,0.0,1.0,0.0,-0.626,0.626,1.252,0,2,-0.626,0.626,1.252,-1.0,-0.626
0.376,0.0,1.0,0.0,-0.624,0.624,1.248,0,2,-0.624,0.624,1.248,-1.0,-0.624
0.378,0.0,1.0,0.0,-0.622,0.622,1.244,0,2,-0.622,0.622,1.244,-1.0,-0.622
0.38,0.0,1.0,0.0,-0.62,0.62,1.24,0,2,-0.62,0.62,1.24,-1.0,-0.62
0.382,0.0,1.0,0.0,-0.618,0.618,1.236,0,2,-0.618,0.618,1.236,-1.0,-0.618
0.384,0.0,1.0,0.0,-0.616,0.616,1.232,0,2,-0.616,0.616,1.232,-1.0,-0.616
0.386,0.0,1.0,0.0,-0.614,0.614,1.228,0,2,-0.614,0.614,1.228,-1.0,-0.614
0.388,0.0,1.0,0.0,-0.612,0.612,1.224,0,2,-0.612,0.612,1.224,-1.0,-0.612
0.39,0.0,1.0,0.0,-0.61,0.61,1.22,0,2,-0.61,0.61,1.22,-1.0,-0.61
0.392,0.0,1.0,0.0,-0.608,0.608,1.216,0,2,-0.608,0.608,1.216,-1.0,-0.608
0.394,0.0,1.0,0.0,-0.606,0.606,1.212,0,2,-0.606,0.606,1.212,-1.0,-0.606
0.396,0.0,1.0,0.0,-0.604,0.604,1.208,0,2,-0.604,0.604,1.208,-1.0,-0.604
0.398,0.0,1.0,0.0,-0.602,0.602,1.204,0,2,-0.602,0.602,1.204,-1.0,-0.602
0.4,0.0,1.0,0.0,-0.6,0.6,1.2,0,2,-0.6,0.6,1.2,-1.0,-0.6
0.402,0.0,1.0,0.0,-0.598,0.598,1.196,0,2,-0.598,0.598,1.196,-1.0,-0.598
0.404,0.0,1.0,0.0,-0.596,0.596,1.192,0,2,-0.596,0.596,1.192,-1.0,-0.596
0.406,0.0,1.0,0.0,-0.594,0.594,1.188,0,2,-0.594,0.594,1.188,-1.0,-0.594
0.40800000000000003,0.0,1.0,0.0,-0.592,0.592,1.184,0,2,-0.592,0.592,1.184,-1.0,-0.592
0.41000000000000003,0.0,1.0,0.0,-0.59,0.59,1.18,0,2,-0.59,0.59,1.18,-1.0,-0.59
0.41200000000000003,0.0,1.0,0.0,-0.588,0.588,1.176,0,2,-0.588,0.588,1.176,-1.0,-0.588
0.41400000000000003,0.0,1.0,0.0,-0.586,0.586,1.172,0,2,-0.586,0.586,1.172,-1.0,-0.586
0.41600000000000004,0.0,1.0,0.0,-0.584,0.584,1.168,0,2,-0.584,0.584,1.168,-1.0,-0.584
