v,t,z2_flips,max_chern_jump,min_abs_gap,has_edge,has_corner,z2_pattern
0.3,0.5,7,6.1623444299024505e-16,2.220446049250313e-16,1,0,0-1-0-1-0-1-1-1-0-0-1
0.8,0.3,7,8.478317674183887e-16,3.0531133177191805e-16,1,0,1-1-0-1-0-1-1-0-0-1-0
0.1,0.3,7,4.639515216364059e-16,3.191891195797325e-16,1,1,1-1-0-1-0-0-0-1-0-1-0
0.1,0.4,7,4.845046736698217e-16,5.134781488891349e-16,1,0,1-0-1-0-1-1-0-1-1-1-0
1.0,0.4,7,6.085675267835511e-16,8.601939595808942e-16,1,0,0-0-1-0-1-1-0-1-1-0-1
0.9,0.6,7,7.95227422273434e-16,8.881784197001252e-16,1,0,1-0-1-1-0-1-1-1-0-1-0
1.0,0.3,7,6.177038585240823e-16,1.1171472287445201e-15,1,0,0-1-1-1-0-1-0-1-0-0-1
0.5,0.6,6,4.1531939454039595e-16,0.0,1,0,0-1-0-0-0-1-0-1-1-1-0
0.9,1.0,6,4.907161574204196e-16,6.938893903907228e-17,1,0,1-0-0-1-1-1-0-0-1-0-1
0.2,0.6,6,4.2453710404230715e-16,1.0501627391564889e-16,1,0,1-0-0-1-0-1-1-0-0-0-1
0.1,0.5,6,5.727130017566294e-16,1.249000902703301e-16,1,0,0-1-1-1-0-1-0-0-1-0-0
0.6,0.3,6,2.7343036623429276e-16,1.3877787807814457e-16,1,0,0-0-0-1-0-1-1-0-0-1-0
0.9,0.0,6,5.220999939556607e-16,3.191891195797325e-16,1,0,0-0-1-1-0-0-0-1-0-1-0
0.9,0.9,6,1.0,3.191891195797325e-16,1,1,1-0-0-0-1-0-1-0-0-0-1
0.8,0.9,6,1.0,4.2774418918664897e-16,1,1,0-0-1-0-0-1-0-0-1-1-0
1.0,0.7,6,3.560005176848318e-16,4.975965660219753e-16,1,0,0-0-1-0-0-1-1-0-0-1-0
0.0,0.7,6,3.8814747183147417e-16,6.232455619048058e-16,1,0,0-1-1-0-1-1-0-1-0-0-0
0.8,0.4,6,4.974998711257482e-16,6.38378239159465e-16,1,0,1-0-1-0-0-0-1-0-0-1-1
1.0,0.2,6,6.063355079842801e-16,6.891672339936243e-16,1,0,1-0-0-0-1-0-1-0-0-1-1
0.8,0.5,6,2.9264008498546745e-16,7.216449660063518e-16,1,0,1-0-1-0-0-0-1-0-1-1-1
0.9,0.1,6,3.1272439633600184e-16,7.216449660063518e-16,1,0,0-0-1-0-1-0-1-1-0-0-0
0.0,0.0,6,4.536988618461949e-16,7.363859260972749e-16,1,0,0-0-0-1-0-1-0-1-1-1-0
0.1,0.1,6,0.9999999999999998,7.632783294297951e-16,1,1,0-1-1-0-0-0-1-0-0-1-0
0.3,0.2,6,5.095894567828569e-16,8.326672684688674e-16,1,0,1-1-1-1-0-1-0-1-0-1-1
1.0,0.6,6,3.3710088766184047e-16,8.87510917483128e-16,1,0,1-0-1-0-0-1-1-1-0-1-1
0.3,1.0,6,1.0,9.43689570931383e-16,1,1,1-0-1-0-0-1-1-1-1-0-1
0.0,0.3,6,1.0,1.004296187742555e-15,1,1,0-0-1-1-0-1-0-0-1-1-0
0.0,0.4,6,3.42230169080882e-16,1.1085075567806953e-15,1,0,1-0-1-0-1-0-0-0-0-1-1
0.9,0.4,6,4.2548876596631715e-16,1.2351231148954867e-15,1,0,1-1-0-1-1-1-0-0-1-0-1
0.0,0.9,6,4.477045042204172e-16,1.4460599658788308e-15,1,0,1-1-0-0-1-0-1-0-0-1-1
0.5,0.2,5,4.33554708455906e-16,2.7755575615628914e-17,1,0,0-1-1-1-0-1-0-0-0-0-1
0.5,0.5,5,4.390209728272274e-16,5.551115123125783e-17,1,0,0-0-1-1-1-1-0-1-0-0-1
0.5,1.0,5,4.3976521686104546e-16,5.551115123125783e-17,1,1,1-0-0-0-1-1-0-0-1-1-0
0.7,1.0,5,4.681662402044745e-16,5.551115123125783e-17,1,0,0-1-0-1-1-1-1-1-0-1-1
0.6,0.8,5,1.0,6.220887844026741e-17,1,1,0-0-1-1-1-0-0-1-0-0-1
0.3,0.3,5,6.137355663988115e-16,8.326672684688674e-17,1,0,0-0-1-1-1-1-0-1-0-1-1
