point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,z2_flip_axes,max_chern_delta,min_neighbor_abs_gap,is_chern_jump,phase_family,special_score
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,-1.942890293094024e-16,2.7282639788229126e-16,1,1,0,0.6175666985788765,3,5.727130017566294e-16,2.914335439641036e-16,0,C1_critical_inversion_core,9.799999999999983
v_0p50_t_0p10_lm_0p40,0.5,0.1,0.4,2.220446049250313e-16,-2.6916257036774837e-16,1,1,0,-0.6987653628472861,3,5.924916132236964e-16,0.19999999999999896,0,C1_critical_inversion_core,9.799999999999981
v_0p40_t_0p50_lm_0p00,0.4,0.5,0.0,-3.885780586188048e-16,3.4132473153224273e-16,1,1,0,1.0347392008077563,3,7.394126107965357e-16,2.220446049250313e-16,0,C1_critical_inversion_core,9.799999999999967
v_1p00_t_0p00_lm_0p50,1.0,0.0,0.5,-4.1614915653858935e-16,3.877553848682606e-17,1,1,0,1.3603182530467908,3,1.9491135395836974e-16,4.640391712057785e-16,0,C1_critical_inversion_core,9.799999999999965
v_0p80_t_0p00_lm_0p50,0.8,0.0,0.5,-4.996003610813204e-16,-1.845015307106896e-17,1,1,0,1.311454001163768,3,6.607656025946325e-17,6.38378239159465e-16,0,C1_critical_inversion_core,9.79999999999996
v_0p10_t_0p40_lm_0p50,0.1,0.4,0.5,-5.134781488891349e-16,-4.245039187804541e-16,1,1,0,-0.5938114906482588,3,6.168164244420713e-16,3.191891195797325e-16,0,C1_critical_inversion_core,9.799999999999958
v_0p40_t_0p20_lm_0p60,0.4,0.2,0.6,-6.38378239159465e-16,5.891632148507643e-17,1,1,0,0.7291962211098763,3,1.794127467898261e-16,0.19999999999999918,0,C1_critical_inversion_core,9.799999999999947
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,-6.661338147750939e-16,2.0070266836923647e-17,1,1,0,-0.9531605393250204,3,3.1995687071126174e-16,1.249000902703301e-16,0,C1_critical_inversion_core,9.799999999999946
v_0p80_t_0p50_lm_0p00,0.8,0.5,0.0,-7.216449660063518e-16,-5.7970175639206365e-18,1,1,0,-2.707761297949091,3,2.56593402080825e-16,5.273559366969494e-16,0,C1_critical_inversion_core,9.799999999999942
v_0p00_t_0p00_lm_0p50,0.0,0.0,0.5,-7.363859260972749e-16,-6.702605395988921e-17,1,1,0,0.5327187784318699,3,4.3227888222934927e-16,6.245004513516506e-16,0,C1_critical_inversion_core,9.79999999999994
v_0p90_t_0p00_lm_0p30,0.9,0.0,0.3,-7.355227538141662e-16,2.5495107271275908e-16,1,1,0,-0.8178224172519556,3,4.4368693615190685e-16,3.7470027081099033e-16,0,C1_critical_inversion_core,9.79999999999994
v_0p80_t_0p10_lm_0p90,0.8,0.1,0.9,-7.544304331421308e-16,-2.0625110279005984e-16,1,1,0,0.73705120023344,3,4.553120430484333e-16,0.19999999999999782,0,C1_critical_inversion_core,9.799999999999939
v_0p30_t_0p20_lm_0p50,0.3,0.2,0.5,-8.326672684688674e-16,-3.054005257920207e-16,1,1,0,-1.02440707722029,3,6.545249275798571e-16,1.1102230246251565e-16,0,C1_critical_inversion_core,9.799999999999931
v_0p90_t_0p60_lm_0p00,0.9,0.6,0.0,-8.881784197001252e-16,9.122652724085402e-17,1,1,0,-1.4953988170121355,3,3.1777925902195106e-16,5.273559366969494e-16,0,C1_critical_inversion_core,9.799999999999928
v_0p30_t_0p50_lm_1p00,0.3,0.5,1.0,-9.43689570931383e-16,2.356609067582143e-16,1,1,0,-0.8256387668555861,3,1.3218762767190375e-16,3.885780586188048e-16,0,C1_critical_inversion_core,9.799999999999924
v_0p00_t_0p30_lm_0p50,0.0,0.3,0.5,-1.004296187742555e-15,1.8338134182188512e-17,1,1,0,-0.6340322954321765,3,1.995283644000773e-16,3.191891195797325e-16,0,C1_critical_inversion_core,9.799999999999919
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,-1.1102230246251565e-15,-3.4347591098685825e-17,1,1,0,0.5579534907301564,3,2.8209722597761234e-16,2.220446049250313e-16,0,C1_critical_inversion_core,9.79999999999991
v_0p20_t_0p50_lm_0p80,0.2,0.5,0.8,-1.1657341758564144e-15,9.521202239160778e-17,1,1,0,1.0298035121025204,3,2.3465719088520633e-16,5.273559366969494e-16,0,C1_critical_inversion_core,9.799999999999907
v_0p00_t_0p50_lm_0p70,0.0,0.5,0.7,-1.1962979246705728e-15,9.762218870655961e-17,1,1,0,-0.5398870240603811,3,1.9755934275037071e-16,9.575673587391975e-16,0,C1_critical_inversion_core,9.799999999999903
v_0p70_t_1p00_lm_0p30,0.7,1.0,0.3,-1.2212453270876722e-15,2.3360618552531948e-17,1,1,0,-0.8562327923984007,3,2.5856532273292063e-16,0.19999999999999774,0,C1_critical_inversion_core,9.799999999999901
v_0p80_t_0p80_lm_0p00,0.8,0.8,0.0,-1.5543122344752192e-15,2.0696289704236955e-16,1,1,0,1.0363639443748187,3,2.8808902631804896e-16,9.298117831235686e-16,0,C1_critical_inversion_core,9.799999999999875
v_0p50_t_0p00_lm_0p50,0.5,0.0,0.5,-1.9984014443252818e-15,-1.5316387846172212e-16,1,1,0,-1.3044925234943616,3,4.764929213176701e-16,8.326672684688674e-16,0,C1_critical_inversion_core,9.799999999999839
v_0p50_t_0p10_lm_0p60,0.5,0.1,0.6,-2.1094237467877974e-15,2.614035874424359e-17,1,1,0,0.8990340248873413,3,2.971886841117044e-16,0.19999999999999923,0,C1_critical_inversion_core,9.79999999999983
v_0p90_t_0p00_lm_0p90,0.9,0.0,0.9,-2.400857290751901e-15,2.3008560248935645e-16,1,1,0,3.498138695646322,3,5.856202760543585e-16,9.120177270343084e-16,0,C1_critical_inversion_core,9.799999999999807
v_0p10_t_1p00_lm_0p50,0.1,1.0,0.5,-2.6922908347160046e-15,-1.1989682151815573e-16,1,1,0,0.9119642634362664,3,3.5168797685919707e-16,8.094233822648517e-16,0,C1_critical_inversion_core,9.799999999999784
v_0p50_t_0p80_lm_0p70,0.5,0.8,0.7,-9.71445146547012e-17,2.297067269945873e-16,0,1,0,-0.2321418709209519,3,5.49421982029958e-16,0.1999999999999966,0,C1_critical_inversion_core,9.199999999999992
v_0p40_t_0p40_lm_0p20,0.4,0.4,0.2,1.1102230246251565e-16,1.261131178990691e-16,0,1,0,0.3544773235488544,3,5.152882145910822e-16,0.19999999999999837,0,C1_critical_inversion_core,9.19999999999999
v_0p70_t_0p90_lm_0p80,0.7,0.9,0.8,-1.3877787807814457e-16,1.0601848938211722e-16,0,1,0,1.959267700995808,3,4.506073119046955e-16,0.19999999999999712,0,C1_critical_inversion_core,9.199999999999989
v_0p20_t_0p10_lm_0p50,0.2,0.1,0.5,-7.216449660063518e-16,-1.084464280319714e-16,0,1,0,-0.15293840115824017,0,3.168920106553197e-16,1.1102230246251565e-16,0,C3_critical_boundary_metal_like,4.999999999999942
v_0p00_t_0p10_lm_0p00,0.0,0.1,0.0,1.5999999999999999,-9.67504695710789e-18,1,0,0,-1.3345358240219445,3,1.0129034462933152e-16,1.1999999999999995,0,R1_robust_z2,4.799999999999999
v_0p10_t_0p10_lm_0p10,0.1,0.1,0.1,1.3999999999999995,-1.160911913275276e-16,1,0,0,0.9310908386479746,3,3.740658016189272e-16,1.1999999999999986,0,R1_robust_z2,4.799999999999999
v_0p20_t_0p10_lm_0p00,0.2,0.1,0.0,1.399999999999999,9.145873559832434e-17,1,0,0,0.7058531795787727,3,1.854590798876326e-16,1.1999999999999988,0,R1_robust_z2,4.799999999999999
v_1p00_t_0p70_lm_0p60,1.0,0.7,0.6,1.2825149885898544,-7.647405347895458e-17,1,0,0,-0.91230440651997,3,4.943725993558674e-16,1.1240998703626606,0,R1_robust_z2,4.799999999999999
v_0p10_t_0p10_lm_0p20,0.1,0.1,0.2,1.1999999999999993,1.9732883602240397e-16,1,0,0,0.5688628739925511,3,4.894023281404977e-16,0.7999999999999998,0,R1_robust_z2,4.799999999999999
v_0p10_t_0p00_lm_0p10,0.1,0.0,0.1,1.5999999999999983,-2.0223538640844025e-16,1,0,0,-1.417957723665815,2,4.50269605915081e-16,1.2000000000000002,0,R1_robust_z2,3.4000000000000004
v_0p20_t_1p00_lm_0p90,0.2,1.0,0.9,1.3999999999999981,4.539875299648299e-16,1,0,0,-1.2763690981748845,2,7.853074639534458e-16,1.199999999999997,0,R1_robust_z2,3.4000000000000004
v_0p80_t_0p60_lm_0p50,0.8,0.6,0.5,1.3620499351813296,2.1308194666892466e-16,1,0,0,1.0973308818631782,2,5.253338061768259e-16,1.0806248474865694,0,R1_robust_z2,3.4000000000000004
v_0p00_t_0p10_lm_0p20,0.0,0.1,0.2,1.1999999999999988,2.3709562766312036e-16,1,0,0,-0.5705605413630981,2,4.788418787757052e-16,0.7999999999999996,0,R1_robust_z2,3.4000000000000004
v_0p00_t_0p90_lm_0p90,0.0,0.9,0.9,1.5999999999999983,-4.8894296068776723e-17,1,0,0,1.3479005063116893,2,3.2700600965740086e-16,1.1999999999999988,0,R1_robust_z2,3.4
v_0p30_t_1p00_lm_1p00,0.3,1.0,1.0,1.3999999999999984,1.2193857965122862e-16,1,0,0,-1.1367575714209217,2,2.0690510765198982e-16,1.199999999999997,0,R1_robust_z2,3.4
v_0p80_t_0p50_lm_0p60,0.8,0.5,0.6,1.3620499351813296,2.9484308913309554e-17,1,0,0,0.7429483147104736,2,2.9694468775565694e-16,1.0806248474865683,0,R1_robust_z2,3.4
v_0p90_t_0p60_lm_0p60,0.9,0.6,0.6,1.3240998703626605,1.0355425414882319e-16,1,0,0,0.6896766595191164,2,3.710146329911706e-16,1.1240998703626606,0,R1_robust_z2,3.4
