ky,largest_gap_size,largest_gap_center_mod,largest_gap_index,centers_sorted
2.5132741228718345,0.496419526022005,0.003104019180401263,3,0.2513137821914038;0.2772233677905633;0.7165685938486329;0.7548942561693988
2.5761059759436304,0.4615080575306906,0.4974073515366115,1,0.1755539700133468;0.2666533227712662;0.7281613803019568;0.8296313269134297
2.6389378290154264,0.4887443929914588,0.4968525110485519,1,0.2153115025385124;0.2524803145528225;0.7412247075442813;0.7909834753643832
2.7017696820872223,0.5388903497545927,0.0013289483409431035,3,0.2707741232182395;0.4263506635210106;0.5709914397971034;0.7318837734636467
2.7646015351590183,0.5572254455794101,0.005277764520170036,3,0.2838904873098751;0.3244387005422831;0.6650057704173764;0.7266650417304650
2.8274333882308142,0.5333862651152841,0.482369609115912,1,0.1496579661908708;0.2156764765582699;0.7490627416735540;0.8856028155773048
2.8902652413026098,0.46573538344184817,0.9999392187968608,3,0.2328069105177848;0.3819829530707439;0.6181386093355341;0.7670715270759366
2.9530970943744057,0.44506996077905114,0.9982988436429139,3,0.2208338240324395;0.4132536968507899;0.5901486158633813;0.7757638632533883
3.0159289474462017,0.4356536300860222,0.4866059621394225,1,0.1957528093367187;0.2687791470964114;0.7044327771824336;0.8310352663844354
3.0787608005179976,0.5214174069855453,0.5017848231308513,1,0.1539527376102177;0.2410761196380786;0.7624935266236239;0.8424776161280794
3.141592653589793,0.4912045119565578,0.5101689884318783,1,0.1743316688339170;0.2645667324535994;0.7557712444101572;0.8053303543023244
