ky,band_index,energy,edge_weight
-3.141592653589793,88,-1.301922597994871,0.0566388403507638
-3.141592653589793,89,-1.3019225979948705,0.05663884035076289
-3.141592653589793,90,-1.288583028794364,0.05262069832264456
-3.141592653589793,91,-1.288583028794364,0.05262069832264272
-3.141592653589793,92,-1.2761844850932151,0.04813792921816579
-3.141592653589793,93,-1.276184485093215,0.04813792921816523
-3.141592653589793,94,-1.2647355940926348,0.04329221358280392
-3.141592653589793,95,-1.2647355940926344,0.04329221358280457
-3.141592653589793,96,-1.2542397813177788,0.038200065164682565
-3.141592653589793,97,-1.2542397813177784,0.03820006516468401
-3.141592653589793,98,-1.2446961175192954,0.03298751089456464
-3.141592653589793,99,-1.2446961175192952,0.03298751089456549
-3.141592653589793,100,-1.2361002072576195,0.027784933268806634
-3.141592653589793,101,-1.236100207257619,0.027784933268808418
-3.141592653589793,102,-1.2284450794326556,0.02272232116677208
-3.141592653589793,103,-1.2284450794326551,0.022722321166772672
-3.141592653589793,104,-1.2217220460951537,0.017925087577802548
-3.141592653589793,105,-1.2217220460951534,0.017925087577802694
-3.141592653589793,106,-1.215921503067901,0.013510531633689739
-3.141592653589793,107,-1.2159215030679007,0.013510531633688733
-3.141592653589793,108,-1.2110336532195656,0.009584955507439557
-3.141592653589793,109,-1.2110336532195654,0.00958495550744052
-3.141592653589793,110,-1.2070491399039842,0.006241397856505118
-3.141592653589793,111,-1.2070491399039842,0.006241397856504828
-3.141592653589793,112,-1.203959583605578,0.0035579149454520276
-3.141592653589793,113,-1.2039595836055776,0.0035579149454512482
-3.141592653589793,114,-1.2017580189775408,0.0015963265302701773
-3.141592653589793,115,-1.2017580189775403,0.0015963265302703423
-3.141592653589793,116,-1.2004392321953965,0.00040134301602333443
-3.141592653589793,117,-1.2004392321953963,0.0004013430160232767
-3.141592653589793,118,-0.8141428428542856,0.9999628862125327
-3.141592653589793,119,-0.8141428428542853,0.9999628862125329
-3.141592653589793,120,-0.8141428428542851,0.999962886212533
-3.141592653589793,121,-0.8141428428542843,0.9999628862125329
-3.141592653589793,122,-0.586495660917063,0.00031889056239817177
-3.141592653589793,123,-0.5864956609170628,0.000318890562398289
-3.141592653589793,124,-0.586161508082789,0.0012695948778422522
-3.141592653589793,125,-0.586161508082789,0.0012695948778418196
-3.141592653589793,126,-0.5856028784269882,0.002834327758015177
-3.141592653589793,127,-0.5856028784269879,0.002834327758015092
-3.141592653589793,128,-0.5848171968307722,0.0049838350386181215
-3.141592653589793,129,-0.5848171968307719,0.0049838350386167945
-3.141592653589793,130,-0.5838008326594719,0.007677968550119164
-3.141592653589793,131,-0.5838008326594715,0.007677968550119598
-3.141592653589793,132,-0.5825490742385894,0.010866477701982322
-3.141592653589793,133,-0.5825490742385893,0.010866477701982118
-3.141592653589793,134,-0.581056095973172,0.014490004608997404
-3.141592653589793,135,-0.5810560959731714,0.014490004608997315
-3.141592653589793,136,-0.5793149180911433,0.01848126637387356
-3.141592653589793,137,-0.5793149180911433,0.018481266373874938
-3.141592653589793,138,-0.5773173590205772,0.022766405117058935
-3.141592653589793,139,-0.5773173590205768,0.02276640511705605
-3.141592653589793,140,-0.5750539804634115,0.027266483651650027
-3.141592653589793,141,-0.5750539804634114,0.027266483651648608
-3.141592653589793,142,-0.5725140253106832,0.031899102360942615
-3.141592653589793,143,-0.572514025310683,0.03189910236094096
-3.141592653589793,144,-0.5696853486651262,0.0365801108528047
-3.141592653589793,145,-0.569685348665126,0.036580110852803924
-3.141592653589793,146,-0.5665543424058823,0.04122538632237604
-3.141592653589793,147,-0.566554342405882,0.04122538632237885
-3.141592653589793,148,-0.5631058539585873,0.045752649212188606
-3.141592653589793,149,-0.5631058539585869,0.045752649212192784
-3.141592653589793,150,-0.559323100235656,0.050083285652359796
-3.141592653589793,151,-0.5593231002356557,0.050083285652358034
-3.141592653589793,152,-0.5551875781012178,0.05414414520296843
-3.141592653589793,153,-0.5551875781012178,0.05414414520297178
-3.141592653589793,154,-0.5506789732092525,0.057869281492716286
-3.141592653589793,155,-0.5506789732092523,0.05786928149271945
-3.141592653589793,156,-0.5457750696790823,0.06120160231925059
-3.141592653589793,157,-0.5457750696790823,0.06120160231924898
-3.141592653589793,158,-0.5404516638257004,0.06409439450413901
-3.141592653589793,159,-0.5404516638257002,0.06409439450413422
-3.141592653589793,160,-0.5346824860670607,0.06651268713966446
-3.141592653589793,161,-0.5346824860670606,0.066512687139669
-3.141592653589793,162,-0.5284391361941506,0.0684344147145161
-3.141592653589793,163,-0.5284391361941504,0.06843441471451578
-3.141592653589793,164,-0.5216910384101731,0.06985133891161169
-3.141592653589793,165,-0.5216910384101728,0.06985133891161452
-3.141592653589793,166,-0.514405423904832,0.07076968469443276
-3.141592653589793,167,-0.5144054239048319,0.07076968469443361
-3.141592653589793,168,-0.5065473501884854,0.07121044286822018
-3.141592653589793,169,-0.5065473501884853,0.07121044286821909
-3.141592653589793,170,-0.4980797678989146,0.07120928809312718
-3.141592653589793,171,-0.49807976789891445,0.07120928809312799
-3.141592653589793,172,-0.4889636472029172,0.07081605912800978
-3.141592653589793,173,-0.48896364720291696,0.07081605912800977
-3.141592653589793,174,-0.4791581770942469,0.07009374806998685
-3.141592653589793,175,-0.47915817709424663,0.07009374806998694
-3.141592653589793,176,-0.46862105164090945,0.06911694910794092
-3.141592653589793,177,-0.46862105164090917,0.06911694910793928
-3.141592653589793,178,-0.45730885732004994,0.06796972677023408
-3.141592653589793,179,-0.45730885732004983,0.06796972677023394
-3.141592653589793,180,-0.4451775747356595,0.06674288095234404
-3.141592653589793,181,-0.4451775747356595,0.06674288095234376
-3.141592653589793,182,-0.4321832059903565,0.06553061314804429
-3.141592653589793,183,-0.4321832059903562,0.06553061314804548
-3.141592653589793,184,-0.4182825355856937,0.0644266365963066
-3.141592653589793,185,-0.4182825355856936,0.06442663659630815
-3.141592653589793,186,-0.403434027893903,0.06351982243995473
-3.141592653589793,187,-0.40343402789390287,0.06351982243995583
-3.141592653589793,188,-0.3875988581264964,0.0628895322693715
-3.141592653589793,189,-0.38759885812649636,0.06288953226937134
-3.141592653589793,190,-0.3707420667589195,0.06260084959381243
-3.141592653589793,191,-0.3707420667589195,0.0626008495938103
-3.141592653589793,192,-0.3528338203351237,0.0626999808028733
