v,Lx,Ly,bulk_gap,energy_window,state_index,energy,abs_energy
0.4,10,10,0.9247395985822477,0.2774218795746743,396,-7.88686739097541e-05,7.88686739097541e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,397,-7.886867390939726e-05,7.886867390939726e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,398,-2.453344016421461e-08,2.453344016421461e-08
0.4,10,10,0.9247395985822477,0.2774218795746743,399,-2.4533439308370077e-08,2.4533439308370077e-08
0.4,10,10,0.9247395985822477,0.2774218795746743,400,2.4533439525406407e-08,2.4533439525406407e-08
0.4,10,10,0.9247395985822477,0.2774218795746743,401,2.453344019703607e-08,2.453344019703607e-08
0.4,10,10,0.9247395985822477,0.2774218795746743,402,7.886867390957248e-05,7.886867390957248e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,403,7.886867390957931e-05,7.886867390957931e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,404,7.886867390981287e-05,7.886867390981287e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,405,7.886867390984372e-05,7.886867390984372e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,406,8.078069528100964e-05,8.078069528100964e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,407,8.07806952813111e-05,8.07806952813111e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,408,8.078069528145685e-05,8.078069528145685e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,409,8.078069528149927e-05,8.078069528149927e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,410,8.250915034769417e-05,8.250915034769417e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,411,8.250915034781917e-05,8.250915034781917e-05
0.5,10,10,0.7325810821533132,0.21977432464599395,388,-0.0006854441756125327,0.0006854441756125327
0.5,10,10,0.7325810821533132,0.21977432464599395,389,-0.0006854441756124709,0.0006854441756124709
0.5,10,10,0.7325810821533132,0.21977432464599395,390,-0.0006650494262290522,0.0006650494262290522
0.5,10,10,0.7325810821533132,0.21977432464599395,391,-0.0006650494262285915,0.0006650494262285915
0.5,10,10,0.7325810821533132,0.21977432464599395,392,-0.0006650494262284478,0.0006650494262284478
0.5,10,10,0.7325810821533132,0.21977432464599395,393,-0.0006650494262284455,0.0006650494262284455
0.5,10,10,0.7325810821533132,0.21977432464599395,394,-0.000636609967116807,0.000636609967116807
0.5,10,10,0.7325810821533132,0.21977432464599395,395,-0.0006366099671164971,0.0006366099671164971
0.5,10,10,0.7325810821533132,0.21977432464599395,396,-0.000636609967116371,0.000636609967116371
0.5,10,10,0.7325810821533132,0.21977432464599395,397,-0.0006366099671160173,0.0006366099671160173
0.5,10,10,0.7325810821533132,0.21977432464599395,398,-1.6963922875754156e-06,1.6963922875754156e-06
0.5,10,10,0.7325810821533132,0.21977432464599395,399,-1.6963922868779326e-06,1.6963922868779326e-06
0.5,10,10,0.7325810821533132,0.21977432464599395,400,1.6963922870496142e-06,1.6963922870496142e-06
0.5,10,10,0.7325810821533132,0.21977432464599395,401,1.6963922876474017e-06,1.6963922876474017e-06
0.5,10,10,0.7325810821533132,0.21977432464599395,402,0.0006366099671160486,0.0006366099671160486
0.5,10,10,0.7325810821533132,0.21977432464599395,403,0.0006366099671162549,0.0006366099671162549
0.5,10,10,0.7325810821533132,0.21977432464599395,404,0.0006366099671166851,0.0006366099671166851
0.5,10,10,0.7325810821533132,0.21977432464599395,405,0.0006366099671168585,0.0006366099671168585
0.5,10,10,0.7325810821533132,0.21977432464599395,406,0.000665049426228309,0.000665049426228309
0.5,10,10,0.7325810821533132,0.21977432464599395,407,0.0006650494262285649,0.0006650494262285649
0.5,10,10,0.7325810821533132,0.21977432464599395,408,0.0006650494262285857,0.0006650494262285857
0.5,10,10,0.7325810821533132,0.21977432464599395,409,0.0006650494262289211,0.0006650494262289211
0.5,10,10,0.7325810821533132,0.21977432464599395,410,0.0006854441756124232,0.0006854441756124232
0.5,10,10,0.7325810821533132,0.21977432464599395,411,0.0006854441756126065,0.0006854441756126065
0.6,10,10,0.5440047606874248,0.16320142820622743,389,-0.003626480811068316,0.003626480811068316
0.6,10,10,0.5440047606874248,0.16320142820622743,390,-0.0034899353133259216,0.0034899353133259216
0.6,10,10,0.5440047606874248,0.16320142820622743,391,-0.0034899353133256155,0.0034899353133256155
0.6,10,10,0.5440047606874248,0.16320142820622743,392,-0.003489935313325602,0.003489935313325602
0.6,10,10,0.5440047606874248,0.16320142820622743,393,-0.003489935313325508,0.003489935313325508
0.6,10,10,0.5440047606874248,0.16320142820622743,394,-0.0032449514149959116,0.0032449514149959116
0.6,10,10,0.5440047606874248,0.16320142820622743,395,-0.003244951414995862,0.003244951414995862
0.6,10,10,0.5440047606874248,0.16320142820622743,396,-0.003244951414995752,0.003244951414995752
0.6,10,10,0.5440047606874248,0.16320142820622743,397,-0.003244951414995216,0.003244951414995216
