v,lm,delta_chi_mean,delta_chi_max,r_break_mean,r_break_max,comment
0.0,0.0,0.552344770738994,0.552344770738994,0.276172385369497,0.276172385369497,No near-exact chiral candidate found; treating Gamma as approximate.
0.18,0.0,0.5476676841008384,0.6498745502158869,0.2738338420504192,0.32493727510794346,No near-exact chiral candidate found; treating Gamma as approximate.
0.19,0.0,0.547255702551274,0.6561787149247866,0.273627851275637,0.3280893574623933,No near-exact chiral candidate found; treating Gamma as approximate.
0.2,0.0,0.5468279283429657,0.6625891564490792,0.27341396417148284,0.3312945782245396,No near-exact chiral candidate found; treating Gamma as approximate.
0.21,0.0,0.546384398048011,0.6691079952182732,0.2731921990240055,0.3345539976091366,No near-exact chiral candidate found; treating Gamma as approximate.
0.22,0.0,0.5459251479681773,0.675737378399486,0.27296257398408863,0.337868689199743,No near-exact chiral candidate found; treating Gamma as approximate.
0.23,0.0,0.5454502138979168,0.6824794779373714,0.2727251069489584,0.3412397389686857,No near-exact chiral candidate found; treating Gamma as approximate.
0.24,0.0,0.5449596308788803,0.6893364882889846,0.27247981543944017,0.3446682441444923,No near-exact chiral candidate found; treating Gamma as approximate.
0.25,0.0,0.5444534329462672,0.6963106238227914,0.2722267164731336,0.3481553119113957,No near-exact chiral candidate found; treating Gamma as approximate.
0.26,0.0,0.5439316528673599,0.7034041158483604,0.27196582643367995,0.3517020579241802,No near-exact chiral candidate found; treating Gamma as approximate.
0.27,0.0,0.5433943218725982,0.7106192092403993,0.2716971609362991,0.35530960462019967,No near-exact chiral candidate found; treating Gamma as approximate.
0.28,0.0,0.5428414693795602,0.7179581586177382,0.2714207346897801,0.3589790793088691,No near-exact chiral candidate found; treating Gamma as approximate.
0.29,0.0,0.5422731227102303,0.7254232240345756,0.27113656135511516,0.3627116120172878,No near-exact chiral candidate found; treating Gamma as approximate.
0.3,0.0,0.5416893068019457,0.7330166661378315,0.27084465340097286,0.3665083330689157,No near-exact chiral candidate found; treating Gamma as approximate.
0.31,0.0,0.5410900439124353,0.7407407407407408,0.27054502195621766,0.3703703703703704,No near-exact chiral candidate found; treating Gamma as approximate.
0.32,0.0,0.5404753533193818,0.7485976927589245,0.2702376766596909,0.37429884637946226,No near-exact chiral candidate found; treating Gamma as approximate.
0.33,0.0,0.5398452510149645,0.7565897494510482,0.26992262550748225,0.3782948747255241,No near-exact chiral candidate found; treating Gamma as approximate.
0.34,0.0,0.5391997493958691,0.7647191129018727,0.26959987469793456,0.38235955645093633,No near-exact chiral candidate found; treating Gamma as approximate.
0.35,0.0,0.5385388569492849,0.772987951680997,0.26926942847464247,0.3864939758404985,No near-exact chiral candidate found; treating Gamma as approximate.
0.36,0.0,0.5378625779354518,0.7813983916059349,0.2689312889677259,0.39069919580296747,No near-exact chiral candidate found; treating Gamma as approximate.
0.37,0.0,0.5371709120673661,0.7899525055333644,0.26858545603368306,0.3949762527666822,No near-exact chiral candidate found; treating Gamma as approximate.
0.38,0.0,0.5364638541883118,0.798652302097503,0.2682319270941559,0.3993261510487515,No near-exact chiral candidate found; treating Gamma as approximate.
0.39,0.0,0.5357413939479437,0.8074997133096145,0.26787069697397187,0.4037498566548072,No near-exact chiral candidate found; treating Gamma as approximate.
0.4,0.0,0.535003515477731,0.8164965809277261,0.2675017577388655,0.4082482904638631,No near-exact chiral candidate found; treating Gamma as approximate.
0.41,0.0,0.5342501970666463,0.825644641500814,0.26712509853332317,0.412822320750407,No near-exact chiral candidate found; treating Gamma as approximate.
0.42,0.0,0.5334814108380909,0.834945509987065,0.26674070541904543,0.4174727549935325,No near-exact chiral candidate found; treating Gamma as approximate.
0.43,0.0,0.5326971224291509,0.8444006618414981,0.26634856121457545,0.42220033092074905,No near-exact chiral candidate found; treating Gamma as approximate.
0.44,0.0,0.5318972906734108,0.8540114134643579,0.2659486453367054,0.42700570673217897,No near-exact chiral candidate found; treating Gamma as approximate.
0.45,0.0,0.5310818672886859,0.8637789008984333,0.26554093364434295,0.43188945044921667,No near-exact chiral candidate found; treating Gamma as approximate.
0.46,0.0,0.5302507965712002,0.8737040566610379,0.2651253982856001,0.43685202833051895,No near-exact chiral candidate found; treating Gamma as approximate.
