point_id,group_id,dim,E_min,E_max,delta_E,best_edge_projection_after,best_corner_projection_after
v_0p60_t_0p80_lm_0p70,45,2,0.29811621870487104,0.29811621870487376,2.7200464103316335e-15,0.5396348919975185,0.175111069097317
v_0p60_t_0p80_lm_0p70,46,2,0.3098890682197765,0.30988906821978257,6.050715484207103e-15,0.2301488870337554,0.04145573367733395
v_0p60_t_0p80_lm_0p70,47,6,0.31448538761645967,0.3170280635095036,0.002542675893043911,0.4295524147616998,0.14336652177905496
v_0p60_t_0p80_lm_0p70,48,2,0.33511287601752265,0.3351128760175249,2.220446049250313e-15,0.31063182053516597,0.031902642793682656
v_0p60_t_0p80_lm_0p70,49,4,0.3434844707383517,0.34396865882068295,0.00048418808233124944,0.4218088958029946,0.21209086004367655
v_0p60_t_0p80_lm_0p70,50,2,0.35184966385501304,0.35184966385501426,1.2212453270876722e-15,0.5007871662850194,0.13238974017137123
v_0p60_t_0p80_lm_0p70,51,10,0.37720007065792355,0.38431155766819447,0.007111487010270923,0.5019644467221628,0.17330140673511363
v_0p60_t_0p80_lm_0p70,52,2,0.3935124539308589,0.3935124539308672,8.326672684688674e-15,0.2752331880431302,0.0967326204202889
v_0p60_t_0p80_lm_0p70,53,6,0.40315182389856147,0.40708346604516016,0.003931642146598691,0.4825982389900239,0.14574600425943357
v_0p60_t_0p80_lm_0p70,54,6,0.42981345446721314,0.4360862976736405,0.006272843206427348,0.47865064921790446,0.20177375979811146
v_0p60_t_0p80_lm_0p70,55,2,0.4420085748337308,0.4420085748337323,1.4988010832439613e-15,0.4769336707344445,0.13052700236079715
v_0p60_t_0p80_lm_0p70,56,4,0.4513779331737116,0.4516108635701004,0.00023293039638877522,0.25147560791687285,0.029593365489700166
v_0p60_t_0p80_lm_0p70,57,2,0.45799355018041343,0.45799355018041576,2.3314683517128287e-15,0.3630512011906743,0.1365000850101231
v_0p60_t_0p80_lm_0p70,58,6,0.46456751432526533,0.46982001123820827,0.005252496912942939,0.47852427201989045,0.14367278333466732
v_0p60_t_0p80_lm_0p70,59,2,0.47523855972634993,0.47523855972635626,6.328271240363392e-15,0.4508582276278683,0.08763681163450787
v_0p60_t_0p80_lm_0p70,60,2,0.48114920299855385,0.4811492029985605,6.661338147750939e-15,0.3017015420997351,0.09264633357284402
v_0p60_t_0p80_lm_0p70,61,2,0.49096929220885,0.49096929220885693,6.938893903907228e-15,0.5082347514942663,0.11057538232660592
v_0p60_t_0p80_lm_0p70,62,4,0.49623637424791034,0.49668088655982456,0.0004445123119142247,0.4229984042018768,0.15694102767280757
v_0p60_t_0p80_lm_0p70,63,16,0.5176466238933197,0.5326963439416494,0.015049720048329718,0.5230388897594404,0.19449180018605947
v_0p60_t_0p80_lm_0p70,64,2,0.5402177383513302,0.5402177383513321,1.887379141862766e-15,0.42158728586358407,0.16667541374740302
v_1p00_t_0p90_lm_1p00,0,10,-0.5371462538028129,-0.5300889210190131,0.00705733278379983,0.508180068088598,0.15205035237580194
v_1p00_t_0p90_lm_1p00,1,4,-0.5225062123365564,-0.5173374506438068,0.005168761692749602,0.40296234142901655,0.1388372964131652
v_1p00_t_0p90_lm_1p00,2,4,-0.5121178526614554,-0.5119735748356488,0.00014427782580661574,0.2345483659916259,0.02766382543051821
v_1p00_t_0p90_lm_1p00,3,2,-0.5025502822337946,-0.502550282233792,2.6645352591003757e-15,0.41646069296825805,0.08931212651904226
v_1p00_t_0p90_lm_1p00,4,4,-0.497451835522183,-0.4925743369281412,0.004877498594041796,0.49038012995063535,0.16014071282670456
v_1p00_t_0p90_lm_1p00,5,2,-0.48639547206941236,-0.48639547206941025,2.1094237467877974e-15,0.35546068077446535,0.0527868948191931
v_1p00_t_0p90_lm_1p00,6,2,-0.4774928689810601,-0.47749286898105614,3.941291737419306e-15,0.47287704271146075,0.1072664290197757
v_1p00_t_0p90_lm_1p00,7,4,-0.4705317535111172,-0.4670818366208237,0.003449916890293503,0.4593850362278824,0.13755264057125105
v_1p00_t_0p90_lm_1p00,8,2,-0.4613384713289049,-0.461338471328893,1.1879386363489175e-14,0.29427834254754526,0.0717268767441541
v_1p00_t_0p90_lm_1p00,9,2,-0.45263351749303926,-0.45263351749303427,4.9960036108132044e-15,0.3133885320822155,0.10707969288884522
v_1p00_t_0p90_lm_1p00,10,6,-0.4454985456090414,-0.44341488729439743,0.0020836583146439658,0.46293498489147783,0.13248023062111608
v_1p00_t_0p90_lm_1p00,11,6,-0.43629546192092417,-0.43306056688355216,0.00323489503737201,0.48210049557451407,0.18602117437440474
v_1p00_t_0p90_lm_1p00,12,6,-0.40742685936203943,-0.4023857255296357,0.0050411338324037325,0.44290865584623057,0.1356579684642999
v_1p00_t_0p90_lm_1p00,13,2,-0.3907679379697596,-0.39076793796975556,4.052314039881821e-15,0.28766684310161195,0.07950270909961803
v_1p00_t_0p90_lm_1p00,14,6,-0.38312258466059024,-0.3802544812165097,0.002868103444080561,0.43743344496543823,0.10952001491553923
v_1p00_t_0p90_lm_1p00,15,4,-0.37510150700779654,-0.37280334965948836,0.002298157348308183,0.25896453523634944,0.058688075573887735
v_1p00_t_0p90_lm_1p00,16,2,-0.35533137246285124,-0.3553313724628454,5.828670879282072e-15,0.5045965451071249,0.1463399423395148
v_1p00_t_0p90_lm_1p00,17,4,-0.34284486954615256,-0.3418937199443044,0.0009511496018481669,0.45697262020894164,0.2130883733712814
v_1p00_t_0p90_lm_1p00,18,2,-0.33673716776929585,-0.33673716776929363,2.220446049250313e-15,0.36495161765197415,0.03669945421934269
v_1p00_t_0p90_lm_1p00,19,6,-0.3152403426469365,-0.3130465810408026,0.002193761606133937,0.39840896635409834,0.12914508824690357
v_1p00_t_0p90_lm_1p00,20,2,-0.3051376108871372,-0.3051376108871369,2.7755575615628914e-16,0.2555197028232708,0.04610077665411401
v_1p00_t_0p90_lm_1p00,21,2,-0.29833845363208567,-0.2983384536320842,1.4432899320127035e-15,0.43027060436977455,0.12413724636982937
v_1p00_t_0p90_lm_1p00,22,2,-0.28822974404399815,-0.2882297440439978,3.3306690738754696e-16,0.4370431856575262,0.12835354944312427
v_1p00_t_0p90_lm_1p00,23,2,-0.2831866837879416,-0.2831866837879404,1.2212453270876722e-15,0.5776626059205268,0.046445372353288286
v_1p00_t_0p90_lm_1p00,24,2,-0.26264539982807983,-0.26264539982807894,8.881784197001252e-16,0.5904666822219266,0.2324336267737685
v_1p00_t_0p90_lm_1p00,25,2,-0.25341161882768487,-0.25341161882767954,5.329070518200751e-15,0.3140105750616223,0.1530613965499661
v_1p00_t_0p90_lm_1p00,26,2,-0.24863233369859708,-0.248632333698595,2.0816681711721685e-15,0.36721798249153464,0.02998042302344445
v_1p00_t_0p90_lm_1p00,27,2,-0.24056299975350834,-0.24056299975350556,2.7755575615628914e-15,0.2716063867765826,0.029504414824589816
v_1p00_t_0p90_lm_1p00,28,2,-0.2333573251229534,-0.23335732512295104,2.3592239273284576e-15,0.2914560338592097,0.081348277793467
v_1p00_t_0p90_lm_1p00,29,2,-0.22549419913652813,-0.22549419913652732,8.049116928532385e-16,0.4471957618853575,0.042093364554747686
v_1p00_t_0p90_lm_1p00,30,2,-0.21558556447572486,-0.21558556447571992,4.9404924595819466e-15,0.5632067861811709,0.25825533039783033
v_1p00_t_0p90_lm_1p00,31,2,-0.1948039774210039,-0.194803977421002,1.887379141862766e-15,0.27075103070706197,0.05621752197476988
v_1p00_t_0p90_lm_1p00,32,2,-0.18330522511849107,-0.18330522511848732,3.747002708109903e-15,0.3994468993423369,0.04123077449960352
v_1p00_t_0p90_lm_1p00,33,2,-0.17240282035616852,-0.17240282035616616,2.3592239273284576e-15,0.5333684757744234,0.25222551730494264
v_1p00_t_0p90_lm_1p00,34,2,-0.16828072485446677,-0.16828072485446594,8.326672684688674e-16,0.22136124886437822,0.05551757678904695
v_1p00_t_0p90_lm_1p00,35,2,-0.16028745920688578,-0.16028745920688559,1.942890293094024e-16,0.4967074340385163,0.054617128069376825
v_1p00_t_0p90_lm_1p00,36,4,-0.1287444709559154,-0.12807881572607518,0.0006656552298402174,0.5126242979900726,0.20880532715284936
v_1p00_t_0p90_lm_1p00,37,2,-0.1056728309350926,-0.10567283093509164,9.575673587391975e-16,0.15669731352021493,0.012621206816937907
