point_id,v,t,lm,category,gap,Z2,Chern,Wilson,old_selected_mode,old_energy,old_edge_weight,old_corner_weight,best_edge_energy,best_edge_weight,best_corner_energy,best_corner_weight,rotated_edge_weight,rotated_corner_weight,whether_selection_changed,recommended_physical_role,edge_gain_vs_old,corner_gain_vs_old,best_method
v_0p30_t_0p30_lm_0p40,0.3,0.3,0.4,near_transition,8.32667268e-17,1,-2.64611165e-16,0.98450202,72,-0.0006887942422294308,0.9991261227502031,0.2666308559059495,-0.09770840083854042,0.9997732147988325,-0.21691558570738484,0.2844786264041678,0.996240856243679,0.3730224445167691,1,corner_dominated,0.0006470920486294496,0.01784777049821834,best_edge_state
v_0p40_t_0p60_lm_0p80,0.4,0.6,0.8,near_transition,8.32667268e-17,0,-7.06789929e-17,0.00813441,144,-0.004122384777399446,0.2772824409207688,0.10053766733030674,-0.06132378026082353,0.5939305182274577,-0.19730664938892656,0.2427883218781425,0.578157883635322,0.2427883218781425,1,edge_dominated,0.31664807730668887,0.14225065454783575,best_edge_state
v_0p50_t_0p80_lm_0p70,0.5,0.8,0.7,near_transition,-9.71445147e-17,0,2.29706727e-16,-0.23214187,66,0.01638048214103303,0.42200063340582783,0.06588391988368958,0.16067356699588298,0.5924189354833651,0.24321684116331144,0.23537848089302896,0.5924189354833649,0.2353784808930293,1,edge_dominated,0.17041830207753728,0.16949456100933938,best_edge_state
v_0p20_t_0p60_lm_0p60,0.2,0.6,0.6,near_transition,-1.05016274e-16,1,1.59027734e-16,0.79994871,96,0.06422937175335126,0.28406765996061784,0.03571396290237996,-0.20708035667316807,0.58256692483616,-0.24046938046350527,0.14469839140114338,0.5958303422736098,0.2469566378434627,1,edge_dominated,0.2984992648755422,0.10898442849876341,best_edge_state
v_0p30_t_0p10_lm_0p50,0.3,0.1,0.5,near_transition,-1.11022302e-16,0,1.64318017e-16,-0.23749031,62,0.009945250965249028,0.9790941704601208,0.2826967825534867,0.23119687367796857,0.9992466514123268,-0.024849540499244663,0.31947641236537344,0.9919997535295142,0.28941017426130283,1,edge_dominated,0.02015248095220601,0.03677962981188676,best_edge_state
v_0p40_t_0p20_lm_0p40,0.4,0.2,0.4,near_transition,1.11022302e-16,0,2.40644939e-16,-0.25623933,54,0.003543906074773915,0.637106508810084,0.11908361922212655,-0.12800083866561196,0.9968642017388714,0.24048805286507782,0.3620560552741117,0.9726922297427991,0.280938295869314,1,edge_dominated,0.35975769292878734,0.24297243605198515,best_edge_state
v_0p40_t_0p40_lm_0p20,0.4,0.4,0.2,near_transition,1.11022302e-16,0,1.26113118e-16,0.35447732,137,-0.003543906074773914,0.637106508810084,0.11908361922212651,0.128000838665612,0.9968642017388714,-0.24048805286507716,0.36205605527411183,0.6371065088100839,0.36205605527411083,1,corner_dominated,0.35975769292878734,0.24297243605198532,best_edge_state
v_0p50_t_0p40_lm_0p10,0.5,0.4,0.1,near_transition,1.11022302e-16,1,1.33826466e-16,-0.75572674,141,-0.006074236977378173,0.32278026272036636,0.01411355433607667,-0.1951392998512242,0.9876403274863756,-0.18508807191664006,0.34334776541095935,0.986971200543697,0.3186515867402948,1,edge_dominated,0.6648600647660092,0.32923421107488265,best_edge_state
v_0p60_t_0p10_lm_0p30,0.6,0.1,0.3,near_transition,1.11022302e-16,1,-1.94866298e-16,-1.03246283,50,0.0015594974359000313,0.9349841030324156,0.28684198468736144,0.0975741770725198,0.9485288065492339,0.11708569264876899,0.3503998321193479,0.9994013302602827,0.9923600384872936,1,corner_dominated,0.013544703516818246,0.06355784743198645,best_edge_state
v_0p60_t_0p20_lm_0p20,0.6,0.2,0.2,near_transition,1.16707185e-16,0,1.09744905e-18,-0.37330678,95,-0.002368518105547183,0.9486016948655505,0.27980599108876497,-0.007042962762028994,0.9488686777358725,-0.06754751833191168,0.28725728305471465,0.9487425635720448,0.8379289292617895,1,corner_dominated,0.00026698287032200785,0.00745129196594968,best_edge_state
