v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification
0.2,10,10,382,-9.338093080119632e-08,9.338093080119632e-08,0.40778331581727967,0.5912701831151557,0.0009465010675650016,bulk_or_mixed_state
0.2,10,10,383,-9.338093076594192e-08,9.338093076594192e-08,0.40778374807892437,0.5912692520829769,0.0009469998380988277,bulk_or_mixed_state
0.2,10,10,384,-9.338093052290629e-08,9.338093052290629e-08,0.407780560345731,0.5912755194323818,0.0009439202218883871,bulk_or_mixed_state
0.2,10,10,385,-9.338093041869558e-08,9.338093041869558e-08,0.4077855549227371,0.5912658617176358,0.0009485833596287866,bulk_or_mixed_state
0.2,10,10,386,-9.275087055000026e-08,9.275087055000026e-08,0.41904467303345816,0.5800097489650268,0.000945578001515168,bulk_or_mixed_state
0.2,10,10,387,-9.275087053526767e-08,9.275087053526767e-08,0.41902738633780323,0.5800441317848206,0.0009284818773766458,bulk_or_mixed_state
0.2,10,10,388,-9.275087047073429e-08,9.275087047073429e-08,0.41902943283188926,0.5800402637161488,0.0009303034519626868,bulk_or_mixed_state
0.2,10,10,389,-9.275087027434349e-08,9.275087027434349e-08,0.4190082460100972,0.5800821905954965,0.0009095633944078984,bulk_or_mixed_state
0.2,10,10,390,-9.21131432596722e-08,9.21131432596722e-08,0.31057202956039087,0.6884466187690567,0.0009813516705538242,edge_state
0.2,10,10,391,-9.211314320999075e-08,9.211314320999075e-08,0.3106929659200838,0.6882049392151581,0.0011020948647577516,edge_state
0.2,10,10,392,-9.21131431631253e-08,9.21131431631253e-08,0.31080942914436277,0.6879719075862849,0.0012186632693516838,edge_state
0.2,10,10,393,-9.2113142809041e-08,9.2113142809041e-08,0.3106969423612531,0.6881967882257043,0.001106269413042021,edge_state
0.2,10,10,394,-9.161366483538511e-08,9.161366483538511e-08,0.10723861899785161,0.8913462411220121,0.0014151398801360551,edge_state
0.2,10,10,395,-9.161366467603071e-08,9.161366467603071e-08,0.10726366675008103,0.8912962525024766,0.0014400807474422774,edge_state
0.2,10,10,396,-9.161366459825629e-08,9.161366459825629e-08,0.10725168691193229,0.8913201894011192,0.001428123686949371,edge_state
0.2,10,10,397,-9.161366449398272e-08,9.161366449398272e-08,0.10725272915525075,0.8913181259438268,0.001429144900922005,edge_state
0.2,10,10,398,-3.082306658688173e-14,3.082306658688173e-14,0.9968025599580314,0.0031948800418998293,2.5600000672552292e-06,corner_state
0.2,10,10,399,-3.025132657465539e-14,3.025132657465539e-14,0.9968025600701014,0.0031948799300101304,2.5599998876565278e-06,corner_state
0.2,10,10,400,3.0282004944158704e-14,3.0282004944158704e-14,0.9968025600414943,0.0031948799585697434,2.5599999334987026e-06,corner_state
0.2,10,10,401,3.0549111681892606e-14,3.0549111681892606e-14,0.9968025599852939,0.003194880014680567,2.5600000235638476e-06,corner_state
0.2,10,10,402,9.161366432540955e-08,9.161366432540955e-08,0.10725109175396794,0.8913212895344803,0.0014276187115492623,edge_state
0.2,10,10,403,9.16136645073944e-08,9.16136645073944e-08,0.10723586720688755,0.8913519358794062,0.0014121969137098715,edge_state
0.2,10,10,404,9.161366458028483e-08,9.161366458028483e-08,0.10725166110580354,0.8913202172658135,0.001428121628384375,edge_state
0.2,10,10,405,9.161366488951991e-08,9.161366488951991e-08,0.10726813674327332,0.8912873113843836,0.0014445518723437349,edge_state
0.2,10,10,406,9.211314307486527e-08,9.211314307486527e-08,0.3106250941309914,0.6883403908163896,0.0010345150526201857,edge_state
0.2,10,10,407,9.211314321581013e-08,9.211314321581013e-08,0.31074414008044227,0.6881024146888731,0.0011534452306824123,edge_state
0.2,10,10,408,9.211314326277311e-08,9.211314326277311e-08,0.3106924884609427,0.6882054166219164,0.0011020949171415167,edge_state
0.2,10,10,409,9.211314361148414e-08,9.211314361148414e-08,0.3107089277299597,0.6881727471038379,0.0011183251662020056,edge_state
0.2,10,10,410,9.275087053630435e-08,9.275087053630435e-08,0.4190275382031723,0.5800439801733366,0.0009284816234913839,bulk_or_mixed_state
0.2,10,10,411,9.275087062722444e-08,9.275087062722444e-08,0.419002788157522,0.5800934246550398,0.0009037871874384921,bulk_or_mixed_state
0.2,10,10,412,9.275087072442159e-08,9.275087072442159e-08,0.4189771852383877,0.5801445308748786,0.0008782838867347336,bulk_or_mixed_state
0.2,10,10,413,9.275087082397028e-08,9.275087082397028e-08,0.4191022911332174,0.5798943349651009,0.001003373901680961,bulk_or_mixed_state
0.2,10,10,414,9.338093052044092e-08,9.338093052044092e-08,0.407783288281345,0.5912702105860779,0.0009465011325776413,bulk_or_mixed_state
0.2,10,10,415,9.338093061187526e-08,9.338093061187526e-08,0.40777514668218356,0.5912865176916757,0.0009383356261409007,bulk_or_mixed_state
0.2,10,10,416,9.338093068367693e-08,9.338093068367693e-08,0.40779895114168113,0.5912388255661313,0.0009622232921879184,bulk_or_mixed_state
0.2,10,10,417,9.338093068622519e-08,9.338093068622519e-08,0.4077758165520722,0.5912852390583808,0.0009389443895473942,bulk_or_mixed_state
0.2,10,10,418,9.39243992651404e-08,9.39243992651404e-08,0.399349612618326,0.5996904103551248,0.0009599770265503019,bulk_or_mixed_state
0.2,10,10,419,9.392439935932732e-08,9.392439935932732e-08,0.39934981761476124,0.5996901038790325,0.0009600785062066551,bulk_or_mixed_state
0.2,10,10,420,9.392439955915189e-08,9.392439955915189e-08,0.39934955421154783,0.5996904290523989,0.0009600167360529132,bulk_or_mixed_state
0.2,10,10,421,9.392439960405924e-08,9.392439960405924e-08,0.3993498462834958,0.5996901600275891,0.0009599936889156556,bulk_or_mixed_state
0.2,10,10,422,9.435528395217085e-08,9.435528395217085e-08,0.4511322382741663,0.5479971954789553,0.0008705662468776297,bulk_or_mixed_state
0.2,10,10,423,9.435528402038722e-08,9.435528402038722e-08,0.45115272723931865,0.5479564506640908,0.0008908220965900263,bulk_or_mixed_state
0.2,10,10,424,9.435528416183029e-08,9.435528416183029e-08,0.45113152877864504,0.5479987962606462,0.0008696749607110358,bulk_or_mixed_state
