point_label,v,lm,t,w,L,state_index,energy,abs_energy,edge_weight,corner_weight,ipr,classification
D,1.9,0.2,0.5,0.10000000000000009,20,1,0.8011954194473311,0.8011954194473311,0.042575312638973885,0.0033487666236088507,0.0006337807996827257,bulk-like
D,1.9,0.2,0.5,0.10000000000000009,20,2,0.8029707075511181,0.8029707075511181,0.09932860252882546,0.011403306297173128,0.0006236813774651511,bulk-like
D,1.9,0.2,0.5,0.10000000000000009,20,3,0.8029707075511251,0.8029707075511251,0.09932860252883285,0.011403306297178933,0.0006234108735476882,bulk-like
E_A,0.9,0.0,0.5,1.1,12,608,0.02789116938369482,0.02789116938369482,0.7203738495157952,0.38283617469087516,0.004008227861436321,corner-like
E_A,0.9,0.0,0.5,1.1,12,609,0.027891169383695145,0.027891169383695145,0.7203738495157949,0.3828361746908754,0.00345398357923268,corner-like
E_A,0.9,0.0,0.5,1.1,12,610,0.027891169383695694,0.027891169383695694,0.7203738495157946,0.38283617469087566,0.004732001318285532,corner-like
E_A,0.9,0.0,0.5,1.1,12,611,0.02789116938369585,0.02789116938369585,0.7203738495157951,0.38283617469087594,0.003244515319323583,corner-like
E_A,0.9,0.0,0.5,1.1,20,66,0.002032653098504871,0.002032653098504871,0.6572483720185051,0.22710301424722576,0.0011472613413323562,edge-like
E_A,0.9,0.0,0.5,1.1,20,67,0.0020326530985048715,0.0020326530985048715,0.6572483720185052,0.22710301424722573,0.0017221366204120505,edge-like
E_A,0.9,0.0,0.5,1.1,20,68,0.002032653098504878,0.002032653098504878,0.657248372018505,0.2271030142472258,0.001439345985849671,edge-like
E_A,0.9,0.0,0.5,1.1,20,69,0.0020326530985048793,0.0020326530985048793,0.6572483720185051,0.2271030142472258,0.0015587056991939376,edge-like
E_B,0.9,0.0,0.5,1.1,12,608,0.02789116938369482,0.02789116938369482,0.7203738495157952,0.38283617469087516,0.004008227861436321,corner-like
E_B,0.9,0.0,0.5,1.1,12,609,0.027891169383695145,0.027891169383695145,0.7203738495157949,0.3828361746908754,0.00345398357923268,corner-like
E_B,0.9,0.0,0.5,1.1,12,610,0.027891169383695694,0.027891169383695694,0.7203738495157946,0.38283617469087566,0.004732001318285532,corner-like
E_B,0.9,0.0,0.5,1.1,12,611,0.02789116938369585,0.02789116938369585,0.7203738495157951,0.38283617469087594,0.003244515319323583,corner-like
E_B,0.9,0.0,0.5,1.1,20,66,0.0020326530985048676,0.0020326530985048676,0.6572483720185051,0.2271030142472258,0.0019158162799643636,edge-like
E_B,0.9,0.0,0.5,1.1,20,67,0.002032653098504872,0.002032653098504872,0.6572483720185051,0.22710301424722576,0.0016944781654566429,edge-like
E_B,0.9,0.0,0.5,1.1,20,68,0.002032653098504875,0.002032653098504875,0.6572483720185051,0.22710301424722582,0.0019084551089912074,edge-like
