v,direction,scan_param,center_index,wannier_center
0.1,x,1.1247677401741232,1,0.41504649536330435
0.1,x,1.1247677401741232,2,0.5898269730866793
0.1,x,1.1247677401741232,3,0.658529279023867
0.1,x,1.202337929151649,0,0.2800497518769082
0.1,x,1.202337929151649,1,0.3434526666630558
0.1,x,1.202337929151649,2,0.6639805214119601
0.1,x,1.202337929151649,3,0.7125170600480757
0.1,x,1.2799081181291747,0,0.20654616112670907
0.1,x,1.2799081181291747,1,0.30950965752623627
0.1,x,1.2799081181291747,2,0.6874026561451848
0.1,x,1.2799081181291747,3,0.7965415252018698
0.1,x,1.3574783071067005,0,0.33642526976547843
0.1,x,1.3574783071067005,1,0.4482720551426163
0.1,x,1.3574783071067005,2,0.5441411834757819
0.1,x,1.3574783071067005,3,0.6711614916161229
0.1,x,1.4350484960842262,0,0.36133191294834455
0.1,x,1.4350484960842262,1,0.4316646118738138
0.1,x,1.4350484960842262,2,0.5711264927759255
0.1,x,1.4350484960842262,3,0.6358769824019166
0.1,x,1.512618685061752,0,0.2043250935237693
0.1,x,1.512618685061752,1,0.32584625594578037
0.1,x,1.512618685061752,2,0.6814206045819735
0.1,x,1.512618685061752,3,0.7884080459484767
0.1,x,1.5901888740392778,0,0.2350352179717233
0.1,x,1.5901888740392778,1,0.26847712807002966
0.1,x,1.5901888740392778,2,0.7266715578172915
0.1,x,1.5901888740392778,3,0.769816096140956
0.1,x,1.6677590630168035,0,0.20156694797450342
0.1,x,1.6677590630168035,1,0.408853819314407
0.1,x,1.6677590630168035,2,0.5917431580021978
0.1,x,1.6677590630168035,3,0.7978360747088926
0.1,x,1.7453292519943293,0,0.21704170552353075
0.1,x,1.7453292519943293,1,0.3696402899123371
0.1,x,1.7453292519943293,2,0.6342902311827333
0.1,x,1.7453292519943293,3,0.7790277733813992
0.1,x,1.822899440971855,0,0.09290752065107317
0.1,x,1.822899440971855,1,0.2886369519666767
0.1,x,1.822899440971855,2,0.7121752429925883
0.1,x,1.822899440971855,3,0.906280284389662
0.1,x,1.9004696299493808,0,0.12556678645323205
0.1,x,1.9004696299493808,1,0.3296734116661116
0.1,x,1.9004696299493808,2,0.6712093027913366
0.1,x,1.9004696299493808,3,0.8735504990893198
0.1,x,1.9780398189269066,0,0.10973118586127228
0.1,x,1.9780398189269066,1,0.22521136282229343
0.1,x,1.9780398189269066,2,0.7654843889677623
0.1,x,1.9780398189269066,3,0.8995730623486724
0.1,x,2.0556100079044324,0,0.26613449973425984
0.1,x,2.0556100079044324,1,0.32123539151628716
0.1,x,2.0556100079044324,2,0.6808221560407023
0.1,x,2.0556100079044324,3,0.7318079527087515
0.1,x,2.133180196881958,0,0.07338986160604197
0.1,x,2.133180196881958,1,0.1966240604553189
0.1,x,2.133180196881958,2,0.7999886433793797
0.1,x,2.133180196881958,3,0.9299974345592594
0.1,x,2.210750385859484,0,0.25888553506273193
0.1,x,2.210750385859484,1,0.4702068666785298
0.1,x,2.210750385859484,2,0.533587966442485
0.1,x,2.210750385859484,3,0.7373196318162532
0.1,x,2.2883205748370097,0,0.09749642284112343
0.1,x,2.2883205748370097,1,0.25687326602035043
0.1,x,2.2883205748370097,2,0.7532959366787079
0.1,x,2.2883205748370097,3,0.8923343744598186
0.1,x,2.3658907638145354,0,0.27570973833646406
0.1,x,2.3658907638145354,1,0.317042954069163
0.1,x,2.3658907638145354,2,0.6948860240368373
0.1,x,2.3658907638145354,3,0.712361283557536
0.1,x,2.443460952792061,0,0.1129959863658904
0.1,x,2.443460952792061,1,0.19505814848260322
0.1,x,2.443460952792061,2,0.8183714789984491
0.1,x,2.443460952792061,3,0.8735743861530576
0.1,x,2.521031141769587,0,0.16300060142116135
0.1,x,2.521031141769587,1,0.24388831443650535
0.1,x,2.521031141769587,2,0.7606170216071718
0.1,x,2.521031141769587,3,0.8324940625351613
0.1,x,2.5986013307471127,0,0.21522532335601638
0.1,x,2.5986013307471127,1,0.36125077468671507
0.1,x,2.5986013307471127,2,0.6346459798253665
0.1,x,2.5986013307471127,3,0.7888779221319013
0.1,x,2.6761715197246385,0,0.10229010582459343
0.1,x,2.6761715197246385,1,0.1310611878565215
0.1,x,2.6761715197246385,2,0.8487404123727046
0.1,x,2.6761715197246385,3,0.9179082939461801
0.1,x,2.7537417087021643,0,0.14958158066440316
0.1,x,2.7537417087021643,1,0.384232374240692
0.1,x,2.7537417087021643,2,0.6127601862871297
0.1,x,2.7537417087021643,3,0.8534258588077748
0.1,x,2.83131189767969,0,0.21123181036902597
0.1,x,2.83131189767969,1,0.3212594947761686
0.1,x,2.83131189767969,2,0.70722669172205
0.1,x,2.83131189767969,3,0.7602820031327557
0.1,x,2.908882086657216,0,0.116907128550362
