point_id,v,t,lm,w,z2,chern,wilson,ribbon_classification,has_connecting_edge_branch,has_isolated_state,band_window_width,in_window_edge_state_count,span_ratio,min_abs_energy,obc_gap,count_absE_le_0p02,special_score,special_rank,category,physical_score,rationale
v_0p50_t_0p50_lm_0p50,0.5,0.5,0.5,1.5,0,2.2693661593657293e-17,0.4835555737302783,empty_gap,0,0,2.538732675106569e-16,0,0.0,0.012297021555791831,0.024594043111584564,4,26.945192700681325,9999,transition_core_or_precursor,0.0075,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p60_t_0p50_lm_0p00,0.6,0.5,0.0,1.4,1,1.4264192744298275e-16,0.5194545798115603,isolated_midgap_state,0,1,0.5999999999999991,96,0.3386056883887388,0.021577317036371627,0.04889947713145951,0,26.934584482384228,9999,bulk_mixed_nontrivial,0.279468,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
v_0p60_t_0p50_lm_0p10,0.6,0.5,0.1,1.4,0,3.768292455017566e-17,-1.6173045978112626,isolated_midgap_state,0,1,0.399999999999999,100,0.5403150706015089,0.0036640670144366012,0.02514815325138141,8,64.21891751849039,9999,ambiguous_need_review,0.136701,指标互相竞争，需结合波函数和更大尺寸复核
v_0p60_t_0p50_lm_0p20,0.6,0.5,0.2,1.4,0,-6.14697361420351e-17,-0.13458302386309223,isolated_midgap_state,0,1,0.19999999999999982,44,0.8586401778994316,0.0009255738628878181,0.012650935256214281,6,126.1662217801202,14,transition_core_or_precursor,0.081373,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p60_t_0p50_lm_0p30,0.6,0.5,0.3,1.4,0,-2.2832969389453866e-16,-0.4587116566299684,empty_gap,0,0,2.7755575615628914e-16,0,0.0,0.0011574278907789753,0.017257100558579788,10,113.58961508743396,18,transition_core_or_precursor,0.01875,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p60_t_0p50_lm_0p40,0.6,0.5,0.4,1.4,1,-2.724932920209084e-16,1.1816471913492153,isolated_midgap_state,0,1,0.2000000000000002,56,0.8710028247280597,0.007893000759608138,0.019552309404610828,4,33.20410928644228,9999,bulk_mixed_nontrivial,0.272665,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
v_0p60_t_0p50_lm_0p50,0.6,0.5,0.5,1.4,0,2.2694041913077677e-16,2.3058893488750183,isolated_midgap_state,0,1,0.39999999999999936,108,0.9600113334609285,0.011376698040972709,0.022753396081952988,4,27.66881291657836,9999,ambiguous_need_review,0.157441,指标互相竞争，需结合波函数和更大尺寸复核
v_0p70_t_0p50_lm_0p00,0.7,0.5,0.0,1.3,0,-4.629618992251468e-18,0.10565043511694173,empty_gap,0,0,0.19999999999999973,0,0.0,0.007004511924018083,0.033236563878259504,12,65.22628204781424,9999,ambiguous_need_review,0.0465,指标互相竞争，需结合波函数和更大尺寸复核
v_0p70_t_0p50_lm_0p10,0.7,0.5,0.1,1.3,1,3.023078603775863e-16,-0.9726210687570239,empty_gap,0,0,3.3306690738754696e-16,0,0.0,0.0053766492985611565,0.011283853294956275,10,67.19616397616998,9999,transition_core_or_precursor,0.13875,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p70_t_0p50_lm_0p20,0.7,0.5,0.2,1.3,1,-3.1276404829959714e-16,-0.8367282877825787,isolated_midgap_state,0,1,0.19999999999999973,40,0.8872124061371477,0.00780397902458413,0.017200646544142547,8,53.7392701421698,9999,ambiguous_need_review,0.276917,指标互相竞争，需结合波函数和更大尺寸复核
v_0p70_t_0p50_lm_0p30,0.7,0.5,0.3,1.3,1,6.649600622101297e-17,-1.069199427588682,connecting_edge_branch,1,0,0.3999999999999993,112,0.9788414886943769,0.0026935822555086207,0.016162744293471774,6,62.41134067250774,9999,robust_edge_topology,0.66309,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p70_t_0p50_lm_0p40,0.7,0.5,0.4,1.3,0,-1.4995810219377512e-17,1.9960369082929978,connecting_edge_branch,1,0,0.5999999999999981,188,0.9898874459495055,0.0044575957068459515,0.017982526017827384,4,43.283045769372166,9999,ambiguous_need_review,0.547775,指标互相竞争，需结合波函数和更大尺寸复核
v_0p70_t_0p50_lm_0p50,0.7,0.5,0.5,1.3,1,-1.3848964345345464e-16,0.75379263656723,connecting_edge_branch,1,0,0.7999999999999984,220,0.9684223912152957,0.010473164524153202,0.020946329048313353,4,28.50294709627675,9999,robust_edge_topology,0.799769,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p80_t_0p50_lm_0p00,0.8,0.5,0.0,1.2,1,-6.222222839059023e-17,-2.5250575416255665,empty_gap,0,0,5.551115123125783e-17,0,0.0,0.00239062553069642,0.020538125612032963,14,93.38402698723456,9999,transition_core_or_precursor,0.14625,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p80_t_0p50_lm_0p10,0.8,0.5,0.1,1.2,1,2.300126766501222e-16,1.123513612928537,isolated_midgap_state,0,1,0.21655250605964355,36,0.9240456574755109,0.0071969815353405235,0.014394421286008544,6,50.283869286999824,9999,bulk_mixed_nontrivial,0.275915,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
