point_label,v,lm,direction,scan_param,center_index,wannier_center
C,0.5,0.1,kx_scan_ky,0.5185185185185185,2,0.5923680334612919
C,0.5,0.1,kx_scan_ky,0.5185185185185185,3,0.8714977977628978
C,0.5,0.1,kx_scan_ky,0.5308641975308641,0,0.5110111519470719
C,0.5,0.1,kx_scan_ky,0.5308641975308641,1,0.6289058501843313
C,0.5,0.1,kx_scan_ky,0.5308641975308641,2,0.7076738510114186
C,0.5,0.1,kx_scan_ky,0.5308641975308641,3,0.9702443616662844
C,0.5,0.1,kx_scan_ky,0.5432098765432098,0,0.08519043993266988
C,0.5,0.1,kx_scan_ky,0.5432098765432098,1,0.36548492679860567
C,0.5,0.1,kx_scan_ky,0.5432098765432098,2,0.5527533087483871
C,0.5,0.1,kx_scan_ky,0.5432098765432098,3,0.7754511417100824
C,0.5,0.1,kx_scan_ky,0.5555555555555556,0,0.26428201473361457
C,0.5,0.1,kx_scan_ky,0.5555555555555556,1,0.46812754840232973
C,0.5,0.1,kx_scan_ky,0.5555555555555556,2,0.5214266631796296
C,0.5,0.1,kx_scan_ky,0.5555555555555556,3,0.6223855441469808
C,0.5,0.1,kx_scan_ky,0.5679012345679012,0,0.075418578271783
C,0.5,0.1,kx_scan_ky,0.5679012345679012,1,0.588324408000939
C,0.5,0.1,kx_scan_ky,0.5679012345679012,2,0.6702176018209849
C,0.5,0.1,kx_scan_ky,0.5679012345679012,3,0.9017085062303626
C,0.5,0.1,kx_scan_ky,0.5802469135802468,0,0.32385843311355683
C,0.5,0.1,kx_scan_ky,0.5802469135802468,1,0.37253277984167144
C,0.5,0.1,kx_scan_ky,0.5802469135802468,2,0.668565601335557
C,0.5,0.1,kx_scan_ky,0.5802469135802468,3,0.9291529572407496
C,0.5,0.1,kx_scan_ky,0.5925925925925926,0,0.15119202730341644
C,0.5,0.1,kx_scan_ky,0.5925925925925926,1,0.2908675651443223
C,0.5,0.1,kx_scan_ky,0.5925925925925926,2,0.6746536680428374
C,0.5,0.1,kx_scan_ky,0.5925925925925926,3,0.8769428558342711
C,0.5,0.1,kx_scan_ky,0.6049382716049383,0,0.015339824226830166
C,0.5,0.1,kx_scan_ky,0.6049382716049383,1,0.41191384375067414
C,0.5,0.1,kx_scan_ky,0.6049382716049383,2,0.6938880907198965
C,0.5,0.1,kx_scan_ky,0.6049382716049383,3,0.9700895726277896
C,0.5,0.1,kx_scan_ky,0.6172839506172839,0,0.5099256953770408
C,0.5,0.1,kx_scan_ky,0.6172839506172839,1,0.5817698381607521
C,0.5,0.1,kx_scan_ky,0.6172839506172839,2,0.8628245832411946
C,0.5,0.1,kx_scan_ky,0.6172839506172839,3,0.9551299021508535
C,0.5,0.1,kx_scan_ky,0.6296296296296295,0,0.18600465092346796
C,0.5,0.1,kx_scan_ky,0.6296296296296295,1,0.44059106969134293
C,0.5,0.1,kx_scan_ky,0.6296296296296295,2,0.49141760809064056
C,0.5,0.1,kx_scan_ky,0.6296296296296295,3,0.7283210454502084
C,0.5,0.1,kx_scan_ky,0.6419753086419753,0,0.38740594423079633
C,0.5,0.1,kx_scan_ky,0.6419753086419753,1,0.44067073679030927
C,0.5,0.1,kx_scan_ky,0.6419753086419753,2,0.8377718486077034
C,0.5,0.1,kx_scan_ky,0.6419753086419753,3,0.9791597922994882
C,0.5,0.1,kx_scan_ky,0.654320987654321,0,0.10342196241269129
C,0.5,0.1,kx_scan_ky,0.654320987654321,1,0.39008374170292504
C,0.5,0.1,kx_scan_ky,0.654320987654321,2,0.9032896059231104
C,0.5,0.1,kx_scan_ky,0.654320987654321,3,0.9607448174408566
C,0.5,0.1,kx_scan_ky,0.6666666666666666,0,0.285981700969647
C,0.5,0.1,kx_scan_ky,0.6666666666666666,1,0.3879731912716239
C,0.5,0.1,kx_scan_ky,0.6666666666666666,2,0.6679248985510606
C,0.5,0.1,kx_scan_ky,0.6666666666666666,3,0.8020720212062914
C,0.5,0.1,kx_scan_ky,0.6790123456790123,0,0.22137175913063778
C,0.5,0.1,kx_scan_ky,0.6790123456790123,1,0.42597751948114315
C,0.5,0.1,kx_scan_ky,0.6790123456790123,2,0.515028980582853
C,0.5,0.1,kx_scan_ky,0.6790123456790123,3,0.9746195258660726
C,0.5,0.1,kx_scan_ky,0.691358024691358,0,0.23477631279426522
C,0.5,0.1,kx_scan_ky,0.691358024691358,1,0.4508640676175963
C,0.5,0.1,kx_scan_ky,0.691358024691358,2,0.5345758611998321
C,0.5,0.1,kx_scan_ky,0.691358024691358,3,0.6860647717508903
C,0.5,0.1,kx_scan_ky,0.7037037037037037,0,0.03191087635197877
C,0.5,0.1,kx_scan_ky,0.7037037037037037,1,0.480100071868085
C,0.5,0.1,kx_scan_ky,0.7037037037037037,2,0.5505435366714388
C,0.5,0.1,kx_scan_ky,0.7037037037037037,3,0.9863977674602405
C,0.5,0.1,kx_scan_ky,0.7160493827160493,0,0.23670056679805854
C,0.5,0.1,kx_scan_ky,0.7160493827160493,1,0.3030051999462887
C,0.5,0.1,kx_scan_ky,0.7160493827160493,2,0.6415326197256729
C,0.5,0.1,kx_scan_ky,0.7160493827160493,3,0.9503593540518782
C,0.5,0.1,kx_scan_ky,0.728395061728395,0,0.16710981015480048
C,0.5,0.1,kx_scan_ky,0.728395061728395,1,0.49038903528789146
C,0.5,0.1,kx_scan_ky,0.728395061728395,2,0.5519788956018211
C,0.5,0.1,kx_scan_ky,0.728395061728395,3,0.6714369669248268
C,0.5,0.1,kx_scan_ky,0.7407407407407407,0,0.534041206427547
C,0.5,0.1,kx_scan_ky,0.7407407407407407,1,0.7861374618090573
C,0.5,0.1,kx_scan_ky,0.7407407407407407,2,0.9036520798488383
C,0.5,0.1,kx_scan_ky,0.7407407407407407,3,0.9904626139685742
C,0.5,0.1,kx_scan_ky,0.7530864197530864,0,0.3163928078529362
C,0.5,0.1,kx_scan_ky,0.7530864197530864,1,0.3937111545429265
C,0.5,0.1,kx_scan_ky,0.7530864197530864,2,0.7058837255169317
C,0.5,0.1,kx_scan_ky,0.7530864197530864,3,0.8380799998469095
C,0.5,0.1,kx_scan_ky,0.7654320987654321,0,0.06374270221036087
C,0.5,0.1,kx_scan_ky,0.7654320987654321,1,0.34908207023823085
C,0.5,0.1,kx_scan_ky,0.7654320987654321,2,0.6193918626803991
C,0.5,0.1,kx_scan_ky,0.7654320987654321,3,0.6782445623222928
C,0.5,0.1,kx_scan_ky,0.7777777777777777,0,0.14257119328554307
C,0.5,0.1,kx_scan_ky,0.7777777777777777,1,0.24708019976411788
C,0.5,0.1,kx_scan_ky,0.7777777777777777,2,0.34442377896170484
C,0.5,0.1,kx_scan_ky,0.7777777777777777,3,0.6920548575642633
C,0.5,0.1,kx_scan_ky,0.7901234567901234,0,0.18207967756374183
C,0.5,0.1,kx_scan_ky,0.7901234567901234,1,0.49691667725288535
C,0.5,0.1,kx_scan_ky,0.7901234567901234,2,0.5957980360929844
C,0.5,0.1,kx_scan_ky,0.7901234567901234,3,0.886995571342937
C,0.5,0.1,kx_scan_ky,0.8024691358024691,0,0.1312354495892295
C,0.5,0.1,kx_scan_ky,0.8024691358024691,1,0.24277513193136874
C,0.5,0.1,kx_scan_ky,0.8024691358024691,2,0.6215573514234154
C,0.5,0.1,kx_scan_ky,0.8024691358024691,3,0.7091944586804195
C,0.5,0.1,kx_scan_ky,0.8148148148148148,0,0.3390825138847871
C,0.5,0.1,kx_scan_ky,0.8148148148148148,1,0.36462572870960036
C,0.5,0.1,kx_scan_ky,0.8148148148148148,2,0.818801692620357
C,0.5,0.1,kx_scan_ky,0.8148148148148148,3,0.9297736715359145
C,0.5,0.1,kx_scan_ky,0.8271604938271604,0,0.2762361493551996
C,0.5,0.1,kx_scan_ky,0.8271604938271604,1,0.5534077724387436
C,0.5,0.1,kx_scan_ky,0.8271604938271604,2,0.5900192916615626
C,0.5,0.1,kx_scan_ky,0.8271604938271604,3,0.6988693758139528
C,0.5,0.1,kx_scan_ky,0.8395061728395061,0,0.010578630732340926
C,0.5,0.1,kx_scan_ky,0.8395061728395061,1,0.12893846647434715
C,0.5,0.1,kx_scan_ky,0.8395061728395061,2,0.23284830187791006
